회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
(주)골든하인드,정규직,"['재무', '회계', '세무', '결산', '채권관리', '자금', '더존', '재무회계']","골든하인드는 성과와 노력에 보상을 아끼지 않는다는 방침으로 글로벌 F&B 브랜드의 다양한 인재를 찾고 있으며,
프리미엄 에그 샌드위치 브랜드인 에그드랍(EGG DROP), 프리미엄 수제버거 전문점 세인트그릴(SAINTGRILL)을 운영하고 있습니다. 일상의 수준을 높이는 한 끼를 만들자는 신념으로 미래 외식업을 함께 만들어 갈 인재를 찾고 있습니다.",재무회계 전략 지원사업 계획 및 리포트 작성 및 보고재무보고서 작성 및 경영진 보고월별 손익계산서 자금일보 및 자금 계획 프로젝트 별 손익 분석 관리 체계 데이터 구조 개선법인세부가세원천세 신고 채권 및 거래처 관리    채권 회수 및 미수금 관리    회수 계획 수립 및 보고  인보이스 작성 및 발송 가맹점 문의 대응,"ㆍ더존 사용 가능자
 ㆍ자체 기장 사용 경험이 있으신 분
 ㆍ원활한 커뮤니케이션 능력을 가지신 분","ㆍ 회계, 상경 계열 전공자 우대
ㆍ프랜차이즈 업계 근무 경험이 있으신 분(우대 사항)
ㆍOA 운영능력 우수자 우대",서류전형 > 면접전형 > 최종합격,"ㆍ자기개발비 지원
ㆍ장기근속자 포상
ㆍ생일 반차 및 상품권 지
ㆍ성과기반 인센티브 별도
ㆍ경조사 휴가, 경조사비 지원
ㆍ자격증 취득 지원
ㆍ청년 소득세 감면, 전세자금 대출 등 중소기업 지원 정책",서울특별시 서초구 강남대로 311,['금융/재무'],"['경리/출납/결산 ', '재무기획/재무분석', '채권관리']",더존 사용 가능자 자체 기장 사용 경험이 있으신 분 원활한 커뮤니케이션 능력을 가지신 분 회계 상경 계열 전공자 우대프랜차이즈 업계 근무 경험이 있으신 분우대 사항OA 운영능력 우수자 우대,651
(주)골든하인드,정규직,"['재무', '회계', '세무', '결산', '채권관리', '자금', '더존', '재무회계']","골든하인드는 성과와 노력에 보상을 아끼지 않는다는 방침으로 글로벌 F&B 브랜드의 다양한 인재를 찾고 있으며,
프리미엄 에그 샌드위치 브랜드인 에그드랍(EGG DROP), 프리미엄 수제버거 전문점 세인트그릴(SAINTGRILL)을 운영하고 있습니다. 일상의 수준을 높이는 한 끼를 만들자는 신념으로 미래 외식업을 함께 만들어 갈 인재를 찾고 있습니다.",재무회계 전략 지원사업 계획 및 리포트 작성 및 보고재무보고서 작성 및 경영진 보고월별 손익계산서 자금일보 및 자금 계획 프로젝트 별 손익 분석 관리 체계 데이터 구조 개선법인세부가세원천세 신고 채권 및 거래처 관리    채권 회수 및 미수금 관리    회수 계획 수립 및 보고  인보이스 작성 및 발송 가맹점 문의 대응,"ㆍ더존 사용 가능자
 ㆍ자체 기장 사용 경험이 있으신 분
 ㆍ원활한 커뮤니케이션 능력을 가지신 분","ㆍ 회계, 상경 계열 전공자 우대
ㆍ프랜차이즈 업계 근무 경험이 있으신 분(우대 사항)
ㆍOA 운영능력 우수자 우대",서류전형 > 면접전형 > 최종합격,"ㆍ자기개발비 지원
ㆍ장기근속자 포상
ㆍ생일 반차 및 상품권 지
ㆍ성과기반 인센티브 별도
ㆍ경조사 휴가, 경조사비 지원
ㆍ자격증 취득 지원
ㆍ청년 소득세 감면, 전세자금 대출 등 중소기업 지원 정책",서울특별시 서초구 강남대로 311,['금융/재무'],"['경리/출납/결산 ', '재무기획/재무분석', '채권관리']",더존 사용 가능자 자체 기장 사용 경험이 있으신 분 원활한 커뮤니케이션 능력을 가지신 분 회계 상경 계열 전공자 우대프랜차이즈 업계 근무 경험이 있으신 분우대 사항OA 운영능력 우수자 우대,4753
(주)피플펀드컴퍼니,정규직,['채권관리'],"“당신을 통해 국민 절반의 신용점수를 바꿀 수 있다면?”
  
  
ㆍ대한민국 국민의 절반은 중저신용자, 이들의 75%는 은행에서 거절되는 사실을 알고 계셨나요? 
ㆍ피플펀드는 이런 기존 금융의 부조리함을 해결하며 합리적이고 신뢰할 수 있는 금융을 만들어가고 있습니다.
ㆍ중저신용자에게 더 나은 조건의 대출을 제공하고, 국내 금융기관들을 위한 리스크 관리 기술력 고도화를 지원하고 있어요.
    
  
“No. 1 PEOPLEFUND”
ㆍ피플펀드는 누적대출액 1조 6천억 원, 개인신용대출 시장점유율 59.1%, 주택담보대출 시장점유율 24.5%로, 업계를 선도하고 있어요. (‘22년 12월)
ㆍ비은행권 최고의 AI 신용평가 및 리스크 관리 기술을 바탕으로 손실률과 연체율을 업계 최저 수준으로 유지하고 있죠.
ㆍ‘23년 1월, 유동성 한파 속에서도 베인캐피탈 리드로 10여 곳의 기존 주주사로부터 추가 투자를 유치해 업계 최대 규모인 누적 1,261억 원을 달성했답니다.
  
  
“최고의 동료들과 마음이 즐거운 일을 함께해요”
ㆍ피플펀드에는 금융 산업의 구조적 문제에 공감하고, 이를 해결해보려는 회사의 미션에 매료된 각 분야의 인재들이 모여있어요.
  
   
“그리고 지금, 대한민국 금융을 바꾸는 여정에 함께 할 최고의 동료를 찾고 있습니다.”",고객과 채권상담 업무를 주도적으로 수행합니다채권의 데이터를 관리합니다채권관리 관련 오퍼레이션 업무를 담당합니다,"2년 이상의 개인신용채권 및 아파트담보 채권 관리 경험이 있는 분
단기/장기 채권의 관리 경험이 있는 분
집요하고 꼼꼼한 성격을 보유한 분
","온라인투자금융업에 대한 이해도를 가진 분
사후채권관리에 대한 이해가 있는 분
엑셀 등 OA 활용 능력을 보유한 분
긍정적이고 유연한 사고방식 소유한 분
업무 프로세스 개선을 위해 의견을 적극적으로 제시할 수 있는 분",,"[Support & Refresh]
• 시차출퇴근제를 운영하고 있어 출근시간을 유연하게 조정할 수 있어요.
• 일주일에 최대 3일까지 집중 업무를 위한 재택 근무가 가능해요.
• 점심 시간은 자유롭게 지정해서 사용할 수 있어요.
• 야근 후 퇴근 시 택시비를 전액 지원해요.
• 입사 첫 날, 환영하는 마음을 담은 웰컴 키트를 제공해요.
• 근속 3년마다 피플러의 재충전을 위해 리프레시 휴가를 제공해요.
• 강남역에서 도보 2분 거리! 사무실이 역과 바로 연결되어 있어요.
• 안마의자, 휴게실/수면실, 게이밍 공간 등 휴식을 위한 다양한 공간이 준비되어 있어요.
• 의자계의 에르메스, 사무용 의자의 끝판왕이라 불리는 허먼밀러 의자를 구비했어요.

[Healthy to be Wealthy]
• 점심 식대 12,000원, 야근 시 저녁 식대 10,000원을 지급해요.
• 그래놀라, 견과류, 탄산수, 우유 등 건강한 간식을 상시 비치해요.
• 다양하고 맛있는 간식을 스낵존에 상시 비치해요.
• 매주 수요일 오후는 ‘해피아워’로, 맛있는 간식을 랜덤으로 제공해요.
• 피플러와 가족의 건강 관리를 위해 연 1회 종합건강검진을 전액/할인 지원해요.
  
[Family-Oriented]
• 가족에게 중요한 일이 생기면, 유연·단축 근무를 활용할 수 있어요.
• 생일을 맞은 피플러에게 유급 반차와 상품권을 선물로 드려요.
• 결혼 시 유급 휴가 2주, 축하금, 축하 화환을 지급해요.
• 경조사 종류에 따라 유급 휴가 및 경조금, 화환을 제공해요.
• 설, 추석 명절 각각에 상품권을 선물로 드려요.
• 본인 및 배우자 출산 시 유급 휴가, 재택 근무 등이 가능해요.
  
[Good Time with Good People]
• 2주에 한 번 랜덤으로 모여 서로를 알아가는 점심 식사를 해요.
• 신규 입사자를 위한 짝꿍(buddy)을 매칭해주고, 안정적인 적응을 돕고 있어요.
• 팀 빌딩을 위한 회식비를 지원해요.
• 취미를 함께 즐길 수 있도록 사내 동호회 활동을 지원해요.
  
[Growth for Next Step]
• 무제한 도서 지원 제도를 운영해요.
• 신규입사자들이 피플펀드에 대해 더 깊이 알 수 있도록 NJT(New Joiner Training)를 진행해요.
• 업무와 밀접한 연관이 있는 외부 교육 참석을 지원해요.
• 피플러가 가진 다양한 스킬 및 재능을 공유하는 사내 클래스를 운영해요.","서울특별시 서초구 서초대로74길 14, The Asset 16층",['금융/재무'],['채권관리'],2년 이상의 개인신용채권 및 아파트담보 채권 관리 경험이 있는 분단기장기 채권의 관리 경험이 있는 분집요하고 꼼꼼한 성격을 보유한 분온라인투자금융업에 대한 이해도를 가진 분사후채권관리에 대한 이해가 있는 분엑셀 등 OA 활용 능력을 보유한 분긍정적이고 유연한 사고방식 소유한 분업무 프로세스 개선을 위해 의견을 적극적으로 제시할 수 있는 분,5040
(주)골든하인드,정규직,"['재무', '회계', '세무', '결산', '채권관리', '자금', '더존', '재무회계']","골든하인드는 성과와 노력에 보상을 아끼지 않는다는 방침으로 글로벌 F&B 브랜드의 다양한 인재를 찾고 있으며,
프리미엄 에그 샌드위치 브랜드인 에그드랍(EGG DROP), 프리미엄 수제버거 전문점 세인트그릴(SAINTGRILL)을 운영하고 있습니다. 일상의 수준을 높이는 한 끼를 만들자는 신념으로 미래 외식업을 함께 만들어 갈 인재를 찾고 있습니다.",재무회계 전략 지원사업 계획 및 리포트 작성 및 보고재무보고서 작성 및 경영진 보고월별 손익계산서 자금일보 및 자금 계획 프로젝트 별 손익 분석 관리 체계 데이터 구조 개선법인세부가세원천세 신고 채권 및 거래처 관리    채권 회수 및 미수금 관리    회수 계획 수립 및 보고  인보이스 작성 및 발송 가맹점 문의 대응,"ㆍ더존 사용 가능자
 ㆍ자체 기장 사용 경험이 있으신 분
 ㆍ원활한 커뮤니케이션 능력을 가지신 분","ㆍ 회계, 상경 계열 전공자 우대
ㆍ프랜차이즈 업계 근무 경험이 있으신 분(우대 사항)
ㆍOA 운영능력 우수자 우대",서류전형 > 면접전형 > 최종합격,"ㆍ자기개발비 지원
ㆍ장기근속자 포상
ㆍ생일 반차 및 상품권 지
ㆍ성과기반 인센티브 별도
ㆍ경조사 휴가, 경조사비 지원
ㆍ자격증 취득 지원
ㆍ청년 소득세 감면, 전세자금 대출 등 중소기업 지원 정책",서울특별시 서초구 강남대로 311,['금융/재무'],"['경리/출납/결산 ', '재무기획/재무분석', '채권관리']",더존 사용 가능자 자체 기장 사용 경험이 있으신 분 원활한 커뮤니케이션 능력을 가지신 분 회계 상경 계열 전공자 우대프랜차이즈 업계 근무 경험이 있으신 분우대 사항OA 운영능력 우수자 우대,5041
지엔터프라이즈(주),정규직,"['채권', '채권관리', 'AR']","지엔터프라이즈는 소득이 있는 모두가 세금을 쉽게 해결할 수 있도록, 쾌적한 세무를 경험할 수 있는 새로운 차원의 세무 시장을 만듭니다. 우리는 '세무 시장을 바꾸는 모두에게 쉬운 세금 경험'을 미션으로, 소득이 있는 모두를 위한 세무 및 재무 시장 변화를 선도할 '비즈넵'과 '1분'을 운영하고 있습니다.

우리의 도전은 확실한 성과를 창출하고 있습니다. 더 낸 세금을 찾아내 환급 신청까지 완료하는 비즈넵 환급 서비스를 시작했고, 출시 6개월 만에 누적 환급액 450억의 성과를 달성했습니다. 또한 네이버와 네이버 파이낸셜의 공동 투자, 하나은행과 NICE평가정보의 투자까지 유치해 누적 투자액 200억이라는 차원이 다른 파트너쉽을 이미 이뤄내 우리 일의 가치를 확인하고 있습니다. 

우리는 지금도 더 완벽한 세무 자동화를 위해 실험에 몰입하고 있으며, 탁월한 세무 자동화 기술로 시장을 압도하는 확실한 성과를 하나씩 이뤄내고 있습니다. 지금도 데이터와 전문 지식을 기반으로 빠르게 비즈니스 모델을 만들며 실험을 진행하며 국내 1위 빅테크, 금융 회사 등과 협업하며 제품을 빠르게 출시함과 동시에 시장의 변화를 만들어가고 있습니다.

이런 우리의 성과는 불편한 것을 문제로 인식하고, 문제를 해결하고자 하는 열정이 있는 사람들이 하나의 크루로 모였기에 가능했습니다. 세무의 미래를 바꾸며 매출로 빠르게 이어지는 제품을 만드는 지엔터프라이즈의 가슴 뛰는 여정에 함께할 지엔터프라이즈의 크루를 모십니다.


[운영팀 소개]

지엔터프라이즈의 AR팀은 운영팀 소속으로, 미납채권의 결제를 위해 최선의 노력을 하고자 합니다. AR(Account Receivable)팀은 매출채권 채권관리 업무를 담당합니다. 경정청구 세무대리 서비스 이용료를 미납한 고객들에게 연락하여 이용료 결제를 유도하는 업무를 주로 하고 있습니다. 다양한 방법을 통해 고객을 설득하여 미납채권을 정리하여 회사 매출에 기여하고 있습니다. 정성, 정량적 분석을 통한 채권관리 프로세스와 정책을 설계하여 채권회수의 효율을 극대화 합니다. 또한 투명한 업무 공유, 자유롭고 적극적인 의견 교환으로 개인과 회사의 성장을 추구하며 일합니다.", 미납채권 고객과 전화로 상담하여 이용료 결제를 유도합니다 필요 시 고객의 자택 사업장 현장 방문을 진행합니다 채권관리 현황 분석하고 프로세스 개선에 참여합니다 기타 채권관리 관련 업무를 수행합니다,"• 고객의 요구사항 및 불편사항을 적극적으로 해결해본 경험이 있으신 분.
• 팀원과의 협업을 중시하며 주도적으로 문제를 해결하고자 하는 열정과 능력을 갖추신 분.
• 문제가 생긴 원인을 분석하고 개선과제를 도출하는 것을 좋아하시는 분.
• 비효율, 반복적인 업무를 효율화 하고 자동화하는데 성취감을 느끼시는 분.
• 운전면허 소지 및 운전 가능하신 분.","• 핀테크, 금융사(캐피털, 카드, 보험 등) 혹은 신용정보사에서 채권관리 경험이 있으신 분.
• 신용관리사 혹은 대부관리사 자격을 소지하신 분.
• 채권 리스크관리 및 추심 경력이 있으신 분.
• 채권관리 관련 전화 및 채팅 상담 경험이 있으신 분.
•법률사무소 또는 법무사사무소 경력자
•엑셀, 워드 등 오피스 활용 가능자","지엔터프라이즈 채용 프로세스
1. 서류전형
2. 직무 인터뷰
3. 컬쳐핏 인터뷰
4. 처우협의 및 입사

• 포지션에 따라(레퍼런스 체크, 커피챗 미팅, 추가 과제 등) 프로세스는 다르게 적용될 수 있습니다.","[행복하게 일할 수 있도록] 
• 오전 8~11시 자율 출근
• 3년 근속 14일 리프레쉬 홀리데이
• 매년 기업 멤버십 건강검진
• 점심 식사(12,000원/일) 지원
• 직무∙개인별 신규 장비 자율 맞춤 구성
• 웰컴 스테이셔너리, 후드∙티셔츠 지급
• 매주 맞춤형 간식

[가족까지 행복할 수 있도록]
• 매년 생일 축하금∙휴가 지원
• 매월 10만원 부모님 용돈
• 매월 20만원 업무지원비
• 매년 명절 선물
• 경조사비 지원

[계속 성장할 수 있도록]
• 개인별 연 100만원 직무 스터디∙교육
• 무제한 직무 도서 구입
• 무제한 직무 콘텐츠 구독
• 무제한 국내 직무 컨퍼런스 참가","서울시 강남구 영동대로 417 오토웨이타워 스페이시스 GF층 G05, 07, 08호 지엔터프라이즈",['금융/재무'],['채권관리'], 고객의 요구사항 및 불편사항을 적극적으로 해결해본 경험이 있으신 분 팀원과의 협업을 중시하며 주도적으로 문제를 해결하고자 하는 열정과 능력을 갖추신 분 문제가 생긴 원인을 분석하고 개선과제를 도출하는 것을 좋아하시는 분 비효율 반복적인 업무를 효율화 하고 자동화하는데 성취감을 느끼시는 분 운전면허 소지 및 운전 가능하신 분 핀테크 금융사캐피털 카드 보험 등 혹은 신용정보사에서 채권관리 경험이 있으신 분 신용관리사 혹은 대부관리사 자격을 소지하신 분 채권 리스크관리 및 추심 경력이 있으신 분 채권관리 관련 전화 및 채팅 상담 경험이 있으신 분법률사무소 또는 법무사사무소 경력자엑셀 워드 등 오피스 활용 가능자,5042
(주)케이뱅크,정규직,"['기획', '금융', '대출']","금융이 꼭 필요한 이유는
우리의 자산을 불려주고
더 나은 가능성을 꿈꾸게 하는 것입니다.

케이뱅크는
고객의 시간을 아껴주고,
고객의 고민을 덜어주며,
선별된 투자 기회로 고객님이
자산을 키워가는 기쁨을 드립니다.

금융서비스의 변하지 않는 가치를 통해
조금씩 나아지는 생활의 변화를 함께 하겠습니다.

""합리적이고, 실용적인 은행 Kbank""", 전세대출 상품 기획 및 운영 전세대출 프로세스 관리 및 모니터링 제휴기관보증기관 등 대응 및 커뮤니케이션,• 금융권에서 주택금융공사 또는 서울보증보험 전세대출 상품 기획 /운영 경력 1년 이상인 분,"• 모바일 대출 프로세스 이해가 높으신 분
• 데이터 작업 능통자
• 대출 상품 IT 요구사항 작성 등 개발 관련 기획 경험이 있는 분",,"• 일할 땐 일하고 쉴 땐 쉬어요
 - 나의 Life style에 맞추어 선택할 수 있는 시차출퇴근제
 -  묻지도 따지지도 않고 쓸 수 있는 연 3일 자기계발휴가
 - 그 외에도 기쁜 일을 축하하고 슬픈 마음에 위안이 되도록 경조휴가를 지원
• 나와 내 가족을 돌봅니다 
 - 아프고 다쳤을 때 든든한 힘이 될 단체보험 가입
 - 부모님께서 건강하셨으면 하는 마음에서 부모님 의료비 지원
 - 연1회 전문 검진기관에서 건강검진을 지원하며, 필요한 가족 1인도 가능
 - 어린이집부터 대학까지 자녀를 잘 키우실 수 있도록 자녀 교육비 지원
 - 법정 육아휴직 1년 + 케이뱅크에서 제공하는 1년 = 총 2년의 육아휴직 가능
 - 설과 추석에 마음을 담은 명절선물까지  
• 당신의 삶에 윤기를 더합니다
 - 자기개발에 쓸 수 있는 쏠쏠한 복지포인트 
 - 원활한 소통을 돕고자 통신비 지원
• 일에 몰입할 수 있는 공간과 환경을 지원합니다
 - 사옥 내 다양한 편의시설(간식자판기, 로봇커피, 안마의자 등)
 - 서울의 중심에서 즐기는 힙지로라이프","서울특별시 중구 을지로 170, 을지트윈타워 6층",['금융/재무'],['채권관리'], 금융권에서 주택금융공사 또는 서울보증보험 전세대출 상품 기획 운영 경력 1년 이상인 분 모바일 대출 프로세스 이해가 높으신 분 데이터 작업 능통자 대출 상품 IT 요구사항 작성 등 개발 관련 기획 경험이 있는 분,5043
(주)케이뱅크,정규직,"['금융', '감리', 'SQL', '여신', 'SAS', '여신관리']","금융이 꼭 필요한 이유는
우리의 자산을 불려주고
더 나은 가능성을 꿈꾸게 하는 것입니다.

케이뱅크는
고객의 시간을 아껴주고,
고객의 고민을 덜어주며,
선별된 투자 기회로 고객님이
자산을 키워가는 기쁨을 드립니다.

금융서비스의 변하지 않는 가치를 통해
조금씩 나아지는 생활의 변화를 함께 하겠습니다.

""합리적이고, 실용적인 은행 Kbank""", 여신 심사기준필터링 한도 등 효율성 및 적정성 검증 신용평가모형 안정성 및 성능 검증 문제여신신 식별을 위한 다양한 모니터링 지표 추출 후 필요시 개선요청  자산건전성 분류 적정성 검증 여신사후관리의 적정성 검증,"• 소매여신 모형(AS,BS)개발 및 검증 또는 신용 여신 전략Matrix 개발 경험이 있는 분
• SAS, SQL 등을 활용하여 자료 추출 및 분석이 가능한 분",• 여신사후관리 경험이 있는 분,,"• 일할 땐 일하고 쉴 땐 쉬어요
 - 나의 Life style에 맞추어 선택할 수 있는 시차출퇴근제
 -  묻지도 따지지도 않고 쓸 수 있는 연 3일 자기계발휴가
 - 그 외에도 기쁜 일을 축하하고 슬픈 마음에 위안이 되도록 경조휴가를 지원
• 나와 내 가족을 돌봅니다 
 - 아프고 다쳤을 때 든든한 힘이 될 단체보험 가입
 - 부모님께서 건강하셨으면 하는 마음에서 부모님 의료비 지원
 - 연1회 전문 검진기관에서 건강검진을 지원하며, 필요한 가족 1인도 가능
 - 어린이집부터 대학까지 자녀를 잘 키우실 수 있도록 자녀 교육비 지원
 - 법정 육아휴직 1년 + 케이뱅크에서 제공하는 1년 = 총 2년의 육아휴직 가능
 - 설과 추석에 마음을 담은 명절선물까지  
• 당신의 삶에 윤기를 더합니다
 - 자기개발에 쓸 수 있는 쏠쏠한 복지포인트 
 - 원활한 소통을 돕고자 통신비 지원
• 일에 몰입할 수 있는 공간과 환경을 지원합니다
 - 사옥 내 다양한 편의시설(간식자판기, 로봇커피, 안마의자 등)
 - 서울의 중심에서 즐기는 힙지로라이프","서울특별시 중구 을지로 170, 을지트윈타워 6층",['금융/재무'],['채권관리'], 소매여신 모형ASBS개발 및 검증 또는 신용 여신 전략Matrix 개발 경험이 있는 분 SAS SQL 등을 활용하여 자료 추출 및 분석이 가능한 분 여신사후관리 경험이 있는 분,5044
(주)케이뱅크,정규직,"['여신', '심사', '여신관리', '여신심사']","금융이 꼭 필요한 이유는
우리의 자산을 불려주고
더 나은 가능성을 꿈꾸게 하는 것입니다.

케이뱅크는
고객의 시간을 아껴주고,
고객의 고민을 덜어주며,
선별된 투자 기회로 고객님이
자산을 키워가는 기쁨을 드립니다.

금융서비스의 변하지 않는 가치를 통해
조금씩 나아지는 생활의 변화를 함께 하겠습니다.

""합리적이고, 실용적인 은행 Kbank""",신청심사 업무 여신 신청 및 심사 업무 개발운영 여신 대외기관 보증 업무 개발운영 여신 제휴기관 연계대출 업무 개발운영실행 업무 여신 실행상환 개발 및 운영 여신 이자계산 개발 및 운영,"• 금융권 여신 업무 IT개발 및 운영 경력 3년 이상인 분
• Java / Oracle 환경 개발 및 운영 경험이 있으신 분","• 대외기관과의 개발 및 협업 경험이 있으며 커뮤니케이션 능력이 뛰어난 분
• 비대면 채널을 통한 모바일 대출 프로세스 업무 개발 및 운영 경험이 있는 분
• R-CLIPS 사용 및 개발 경험이 있는 분
• 금융권에서 자동차대출 상품 개발 및 운영경험이 있는 분",,"• 일할 땐 일하고 쉴 땐 쉬어요
 - 나의 Life style에 맞추어 선택할 수 있는 시차출퇴근제
 -  묻지도 따지지도 않고 쓸 수 있는 연 3일 자기계발휴가
 - 그 외에도 기쁜 일을 축하하고 슬픈 마음에 위안이 되도록 경조휴가를 지원

• 나와 내 가족을 돌봅니다 
 - 아프고 다쳤을 때 든든한 힘이 될 단체보험 가입
 - 부모님께서 건강하셨으면 하는 마음에서 부모님 의료비 지원
 - 연1회 전문 검진기관에서 건강검진을 지원하며, 필요한 가족 1인도 가능
 - 어린이집부터 대학까지 자녀를 잘 키우실 수 있도록 자녀 교육비 지원
 - 법정 육아휴직 1년 + 케이뱅크에서 제공하는 1년 = 총 2년의 육아휴직 가능
 - 설과 추석에 마음을 담은 명절선물까지  

• 당신의 삶에 윤기를 더합니다
 - 자기개발에 쓸 수 있는 쏠쏠한 복지포인트 
 - 원활한 소통을 돕고자 통신비 지원

• 일에 몰입할 수 있는 공간과 환경을 지원합니다
 - 사옥 내 다양한 편의시설(간식자판기, 로봇커피, 안마의자 등)
 - 서울의 중심에서 즐기는 힙지로라이프","서울특별시 중구 을지로 170, 을지트윈타워 6층",['금융/재무'],['채권관리'], 금융권 여신 업무 IT개발 및 운영 경력 3년 이상인 분 Java  Oracle 환경 개발 및 운영 경험이 있으신 분 대외기관과의 개발 및 협업 경험이 있으며 커뮤니케이션 능력이 뛰어난 분 비대면 채널을 통한 모바일 대출 프로세스 업무 개발 및 운영 경험이 있는 분 RCLIPS 사용 및 개발 경험이 있는 분 금융권에서 자동차대출 상품 개발 및 운영경험이 있는 분,5045
