회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
한류뱅크(주),정규직,"['마케팅', '영상편집', '디자인', 'SNS', '캐릭터디자인', '브랜드기획']","한류뱅크는 나스닥 상장을 준비하고 있으며 FANTOO를 개발하고 운영하는 IT 기업입니다.
AI와 블록체인을 연구하는 선행기술 조직과, 앱을 개발하는 개발 조직, FANTOO를 운영하는 운영조직으로 구성되어 있습니다.
자회사로는 한류 전문 미디어 한류타임즈와 FNS, 팬투엔터테인먼트, 라이브커머스 기업 케이커머스가 있습니다.",캐릭터 브랜드를 활용한 마케팅 전략 기획 및 운영    캐릭터 디자인캐릭터 응용 디자인    스토리텔링을 통한 캐릭터 콘텐츠 SNS용 홍보 및 웹툰 스토리 기획 및 제작    캐릭터 개발시 콘셉 아이디어 및 브랜드 기획리워드 광고 영상 편집    아티스트를 활용한 생일광고 영상 등 간단한 2D 모션 그래픽 편집 작업    SNS 콘텐츠용 영상 제작 및 편집,"ㆍ미디어와 온라인에 대한 이해를 바탕으로 기획력을 갖춘 분
ㆍAdobe 툴 (Photoshop, illustrator, Premiere)의 높은 활용 능력을 가지신 분
ㆍ캐릭터 드로잉 가능하신 분
ㆍ영상 편집 툴 사용 가능하신 분
ㆍ트렌디한 SNS 영상 콘텐츠 기획 경험 있으신 분
ㆍ긍정적이고 밝은 성격이신 분
ㆍ원활한 협업 및 커뮤니케이션 능통하신 분","ㆍ이모티콘, 애니메이션 제작 경험이 있으신 분
ㆍ디자인 관련 학과 전공
ㆍ기존 캐릭터를 변형해서 작업이 가능하신 분
ㆍ디지털 미디어 관련 근무 경험자 (2D 모션, 컷편집 등)
ㆍ팬덤, 온라인 커뮤니티, 소셜미디어, 밈 등 인터넷 문화를 즐기는 분",,"• 사내 스낵바, 커피머신
• 각종 경조사비, 특별휴가 제공
• 중식제공(야근 시 석식 제공)
• 교육비 및 도서비 지원
• 최신노트북, 비품 듀얼모니터 등 지원","서울특별시 영등포구 국회대로38길 8, 403호 A-164호(당산동3가, 문화빌딩)",['디자인'],['캐릭터디자인'],미디어와 온라인에 대한 이해를 바탕으로 기획력을 갖춘 분Adobe 툴 Photoshop illustrator Premiere의 높은 활용 능력을 가지신 분캐릭터 드로잉 가능하신 분영상 편집 툴 사용 가능하신 분트렌디한 SNS 영상 콘텐츠 기획 경험 있으신 분긍정적이고 밝은 성격이신 분원활한 협업 및 커뮤니케이션 능통하신 분이모티콘 애니메이션 제작 경험이 있으신 분디자인 관련 학과 전공기존 캐릭터를 변형해서 작업이 가능하신 분디지털 미디어 관련 근무 경험자 2D 모션 컷편집 등팬덤 온라인 커뮤니티 소셜미디어 밈 등 인터넷 문화를 즐기는 분,5105
(주)라운드스타,정규직,"['디자인', '포토샵', '그래픽디자인', '일러스트', '캐릭터디자인', '일러스트레이터', '캐릭터', '캐릭터 디자인']","둥근별은 '세상이 필요로 하는 것을 만든다'라는 미션을 바탕으로 소프트웨어 개발, 디지털 마케팅, 플랫폼 서비스, 유통사업을 전개하고 있습니다. 우리가 전개하는 비즈니스에서 알 수 있듯이 우리으 ㅣ비즈니스 모델은 세상이 필요로 하는 것이라면 그 무엇이든 새로운 비즈니스로 끊임없이 창조하여 세상을 가치있게 변화시키는 것입니다.

둥근별은 충청남도 천안에 위치해 있으며 1호선 천안역 출구에서 도보 3분의 거리에 위치해있습니다.", 콘텐츠 IP 기획 제작을 위한 캐릭터 디자인드로잉 콘텐츠 기획 제작을 위한 2D 그래픽 전반,"[필요역량]
- 드로잉 및 디자인에 능숙하신 분
- Adobe Photoshop/ Illustrator에 능숙하신 분
- 콘텐츠에 대한 관심과 개발에 능하신 분
- 커뮤니케이션의 중요성을 이해하고 능동적인 소통이 가능하신 분",- 컨셉 디자인에 능숙하신 분,서류전형 → 1차 면접 → 최종합격,,충청남도 천안시 서북구,['디자인'],['캐릭터디자인'],필요역량 드로잉 및 디자인에 능숙하신 분 Adobe Photoshop Illustrator에 능숙하신 분 콘텐츠에 대한 관심과 개발에 능하신 분 커뮤니케이션의 중요성을 이해하고 능동적인 소통이 가능하신 분 컨셉 디자인에 능숙하신 분,5106
