직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,서울,2021. 08,5.0,"""스타트업의 빠른 성장과 실리콘밸리의 강한 엔지니어링 역량을 한국에서 경험할 수 있는 곳""","
일을 즐겁게 잘하고 싶어하는 사람들이 많고 서로 돕기를 주저하지 않아서 동기부여가 잘 됨. 매니저들이 일의 blocker를 잘 해결해주고 불필요한 문서작업이나 프로세스를 요구하지 않아서 빠른 실행을 할 수 있음. 디자인 리뷰, 코드 리뷰, 테스트 코드 작성 등 좋은 품질을 위한 엔지니어링 문화가 잘 갖춰져있음. 재택근무 하고 있음. 스톡옵션 있음.
","
스타트업이라 일이 많은 편. 문서는 대부분 영어로 작성해야 하고 미팅이나 채팅도 영어가 대부분이라 영어를 어느 정도 할 수 있어야 함. 로봇 제어부터 클라우드까지 회사가 다루는 기술 범위가 넓고 팀이 달라도 어느 정도는 이해가 필요해서 공부할 것이 꽤 있음.
","
특별히 아쉬움은 없고 좋은 분들 많이 모셔와주시면 좋겠습니다
"
개발,전직원,서울,2021. 07,4.0,"""스타트업의 장점인 자율성과 도전정신과 더불어 구글 출신 임원진의 체계적인 시스템이 갖추어진 곳.""","
본사가 캘리포니아에 있기 때문에 더 수평적이고 오픈된 분위기이다. 미팅도 영어로 한다.
","
딱히 없다. 직접 느낀 건 아니지만 주변에서 들었던 것은 프로젝트 매니지먼트가 좀 부족했다는 것 정도.
","
딱히 없다. 피드백도 빠르고 언제든지 연락할 수 있다. 다만 CEO는 항상 바쁘다.
"
개발,현직원,서울,2021. 04,5.0,"""빠르게 성장하는 기업. 다양한 기회가 있다. 사내문화와 직원 대우가 좋은 편. 실리콘벨리 스타트업의 장점을 가짐.""","
실력 있는 사람들이 많음.업무에 필요한 것은 뭐든 지원해줌.로봇을 많이 만져볼수 있음.실리콘 벨리 스타트업의 일하는 방식을 체험할수 있음.
","
영어를 많이 써야함.미팅 시간이 미국과의 시차때문에 불편함.
","
신규 제품 개발에 대한 토론의 장을 만들어 주었으면 함.
"
개발,전직원,경기,2023. 10,1.0,"""오너 경영의 대표적인 회사 승계 구도 작업에서 아드님의 독단""","
장점을 무지하게 찾기 힘든 회사이지만 굳이 찾아본다면 밥을 줌-점심
","
불법을 밥먹듯이 하고 약속은 깨라고 있는 것, 고소장이 회사 지천에 깔려 있다.
","
회장은 창업주라 겁나게 스마트 하신데 아들이 다 말아드시고 계시오니 참조바랍니다.
"
생산/제조,전직원,경기,2023. 08,2.0,"""일하는만큼 벌어가는곳 일이없고 장비도 다 빠지는중국내는답이없고 베트남주력""","
연차 마음대로 쓰고 잔업 하고싶음 하고 자유롭다 밥이 괜찮은편
","
요즘 일이없어서 돈을 못범 야간도 없어지고 심각하다..
","
물론 돈도 중요하지만 사람 귀한줄도 알아줬으면 좋겠다
"
생산관리/품질관리,전직원,경기,2023. 08,5.0,"""Fpcb업체로 많은것을 배울수 있습니다.""","
Pcb를 처음부터 마지막까지 생산하며 pcb관련해서는 많은것을 배울수있음
","
단순노동도 많은것같아서 처음하는분들은 생각보다 힘들수도 있을것으로 생각됩니다.
","
현재에 안주하지않고 더 높은곳을 향해 비상할수 있길 바라며 직원들을 가족처럼 대해 주시길
"
연구개발,전직원,경기,2023. 07,4.0,"""중견기업으로써 업계입지가 탄탄한 회사, 대기업으로의 발전가능성은 글쎄..""","
연차를 상사눈치보지않고 자유롭게 쓸 수 있음,주말 출근 및 공휴일 전부 휴무
","
회사의 매출이 흑자가 나지 않는 이상 성과, 상여금 일체 없음
","
새로입사하는 경력직과 기존의 인원들의 임금차가 많이납니다.연봉테이블 설정이 낮으면 입사희망자가 없는건 알겠습니다만기존인원들은 새로입사하는경력직보다 낮은연봉을 받게되니 상대적박탈감이 심해 퇴사를 고려하게되오니 연봉테이블을 조정하심이 좋을듯합니다
"
생산/제조,전직원,경기,2023. 06,2.0,"""가족회사라 문화가 별로임 꼰대문화fpcb로 망하지는 않을듯한 회사""","
점심저녁준다출퇴근버스있다흡연부스 별도모가 있을까 음
","
1. 건물이 오래되어 누수됨2. 고인물들 천지    (회장 사장 가족 지인 인맥)    생산 반장 뿐만 아니라 이간질하는 사람있음    안전환경은 좀 고칠줄 안다고 젊은놈이 유세떤다     계속 사람 바뀐다3. 번거에 비해 상여금이 없다.
","
번 만큼 직원들에게 베풀면 좋겠다그거 갖고있어 세금만 나가지 모하겠습니까
"
엔지니어링,전직원,경기,2023. 05,3.0,"""버는돈에 비해서 상여금이 짜다회사는 그럭저럭 안정적이고 다닐만하다""","
삼성 엘지등 빵빵한 기업들이 있어 망하지 않을듯 싶다밥을 준다군대문화가 아니다
","
고인물들이 많다 (생산, 공무 안전)일 하는 사람만 한다.상여금이 줄까말까
","
마니 번만큼 직원들에게 주면 퇴직자들이 없을듯 싶네요
"
연구개발,전직원,경기,2023. 05,2.0,"""밥맛 없고 워라벨 없음 샘플이 많아서 바쁘다""","
연차 눈지안보고 쓸수 있음 주말출근 없음 장비 베트남 으로보내고 있음
","
상사 눈치를 많이본다 연봉에 야근수당이 포함 되어 어쩔수 없이 남아야하는경우도 있음
","
상여금 이나 성과급 같은걸 줬으면 좋겠음 구내식당 개편 필수
"
개발,현직원,경기,2023. 04,3.0,"""연봉상승률은떨어지며 개인커리어를 쌓기에는힘든 회사임""","
연차사용제한없음퇴근시간이빠름휴일근무없음회식강요없음수직적인구조아님
","
시키는일이많지만따로 알려주진않음신입사원채용없음자기일은 자기가 해야하는구조
","
인원에대한투자필요함어떻게되겠지라는 마인드가 아닌 체계적 시스템구축필요함
"
생산/제조,전직원,경기,2023. 04,1.0,"""포괄임금을 아주 잘 활용하는 기업 공짜 야근의 대표주자""","
식당이 건물 내부에 있어서 밥먹는건 편하다 흡연장이 있어서 담배피기 편하다건물 내부는 여름에 그나마 시원하다
","
복지없고 포괄임금으로  공짜야근이 아주 당연시 되는 회사다 배울 사람도 없고 임금도 아주 바닥 수준이다
","
소모품으로 생각하고 그냥 나가면 뽑고 나가면 뽑고 그런식으로 사람을 바라보지 말아라
"
연구개발,전직원,경기,2023. 04,1.0,"""일이너무많고 급여가낮다 내부적으로 난이도있는 업무사이에서 자괴감이들겅""","
장점은 없는것같지만 밥3끼가 나온다와 특별한건없습니다 끝
","
단점은 급여가낮고 고용불안이 강합니다 그래도 잘이겨내야합니다
","
딱히 없으나 실효성있는 업무진행을 하면좋았을듯합니다 보여주기식 강함
"
생산/제조,전직원,경기,2023. 04,2.0,"""pcb 제조 업체 생산업체로  노동 집약적인 생산 구조임""","
나름  주위 환경이 깔끔함 부서별 업무 분담이 잘 되어있는 것  같아 보이며 출퇴근 용이함
","
품질 관리 및 업무 노동 강도가 높은 편이나 그에 대한 합당한 보수가 적음
","
직원들의 복지에 신경을 써주었으면 좋겠음
"
생산/제조,전직원,경기,2023. 03,2.0,"""사람을 쉽게 자르고 사원에 대한 복지가 전혀 없으므로 추천하지  않음""","
연차 눈치안보고 쓸수있었고 워라벨은 나쁘지 않습니다디
","
사람을 쉽게 자르구 매년 구조조정이라는 스트레스를 주슨 회사
","
사람을 귀하게 대해야 기업의 발전이 있으니 사람을 쉽게 내보내지 마세요
"
생산/제조,전직원,경기,2023. 01,1.0,"""급여가 작고 다 늙어가는 회사 빨리 탈출하는게 답""","
진짜 없는데 어떻게 적지. 연차 눈치 안보고 쓸수 있고 밥이 사람답게 나옴.
","
급여를 진짜 짬 명절 추석 유급휴가 절대 기대하면 안됨. 보너스 없음
","
돈을 벌었으면 그만큼 직원에게 투자를 해야 오래 근무 하는데 일을 잘하고 유능한사람들은 회사 본질파악하고 바로 떠남
"
생산/제조,전직원,경기,2023. 01,2.0,"""방진복 착용 가능하고 사람이 좋다 하는 분들에게는 추천""","
1.정시 퇴근2.밥이 맛있음3.휴게시간 보장4.통근버스 있음
","
1.주야 2교대2.일이 너무 지루할 수 있음3.방진복 착용 하는 곳도 있어 불편할 수 있음4.일이 없을 때 가끔 다른 부서로 이동할 수 있음
","
직원들의 불만을 듣지만 말고 해결책을 마련해줬으면 좋겠다.
"
생산/제조,전직원,경기,2023. 01,3.0,"""단기 알바로는 적합하나 장기로 보았을떄 몸이 상할거 같음""","
점심시간에 탁구 칠 수 있는데 있음 또한 휴게실이 일 하는 곳곳에 있음, 출퇴근 버스 있음
","
외국인 들이 많고 주야간이라 몸이 상할수 있음 또한 부서마다 다르겠지만 한 부서는 아세톤 냄새 및 잉크 냄새 심함
","
탈의실의 좀더 개편 되고  보안이 더 철철히 진행됬으면 좋을거 같아요
"
금융/재무,전직원,경기,2022. 09,5.0,"""적자 볼 때도 있지만 그래도 계속해서 성장하려고 하는 회사입니다""","
출근버스 존재하여 안산역에만 도착하면 편안하다. 사장님 성격이 무척이나 좋으시다 그리고 연차 눈치 안 봐도 됭
","
상여금이 없구 연봉도 잘 늘어나지 않는다 다른 복지가 좋은 편은 아니다
","
명절 선물을 좀 더 좋은걸 나눠주셨으면 좋겠네요 참치와 햄은 그만!
"
생산관리/품질관리,현직원,경기,2022. 09,3.0,"""통근버스 있고 주차장 있고  구내 식당 있지만  그외 복리후생 제로""","
통근버스 , 주차장, 그리고 구내식당 밥은 먹을만하다  그리고 팀마다 다르지만  칼퇴근하는 분위기
","
시스템 적으로 체계가 없으며  지금은 잠점적 폐지 되었지만 예베 봐야 한다 팀마 다 다르지만 무시받는 사람들도 있다
","
많이 발전했으며 좋겟으며 고인물 들 정신차리면서 일할수 잇게  신입사원 들에게 조사를 햇으면 좋겟습니다
"
