회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
데이원컴퍼니(주),정규직,"['기획', '교육기획', '교육', '교육운영']","[Fastcampus]
 
산업과 교육 간 미스매치를 해소하는 Fastcampus CIC
 
직장인에게 요구되는 역량의 종류는 더욱 다양해지고 있고, 그 수준도 무시할 수 없이 높아지고 있습니다. Fastcampus는 현재 시장에서 요구되고 있는, 나아가 앞으로 요구될 것으로 보이는 직무역량을 빠르고 날카롭게 포착해 교육콘텐츠를 개발하고 제공합니다. 

'프로그래밍', '마케팅', '데이터사이언스', '파이낸스', '크리에이티브'등 높은 부가가치를 내고있는 각 영역 최고의 실무자들과 함께 교육 콘텐츠를 만들어 나가고 있습니다. 현업에서 즉시 적용 가능한 프로젝트와 트렌드를 리딩하는 실사례 기반 콘텐츠는 온/오프라인 등 형식에 구애받지 않고 개발되고 있으며, 성장을 원하는 고객들에게 전에 없던 변화를 안겨주고 있습니다. 


[기업교육의 진짜 'Game Changer' 패스트캠퍼스 B2B교육사업본부]

기업의 경쟁력은 '디지털트랜스포메이션'에 달려 있습니다.
4차 산업혁명과 시장의 디지털화는 겉잡을 수 없이 빠르게 진행되고 있으며, 기업들은 [다가온 미래]인 디지털 환경에서의 비즈니스 성장을 위해 기존에 운영하던 직무들의 대한 재개편과 함께 임직원들의 재교육을 필요로 하고 있습니다. 

패스트캠퍼스 Fastcampus CIC의 B2B교육사업본부는 이 수요에 정확히 대응하는 콘텐츠와 서비스를 제공합니다. 기업들이 변화에 대응해 지속적으로 성장할 수 있도록 맞춤형 기업교육, 온라인 직무교육 구독서비스 등 다양한 교육 서비스를 제공하고 있습니다. ",교육기획 개발 운영 디지털 트랜스포메이션 데이터 사이언스 프로그래밍 마케팅 등 분야별 기업 교육 개발 기업 고객 니즈 파악 및 협의 맞춤형 커리큘럼 기획 및 제안 강사진 섭외 및 교육운영 시 퀄리티 관리 총괄 고객사의 주요 이해관계자들과 네트워킹을 통해 패스트캠퍼스 서비스가 줄 수 있는 가치 전달 고객의 니즈를 이해하고 해결하기 위한 과정을 리드하고 내부 구성원에게 적절하게 공유 및  해결 팀 KPI에 맞춰 파트의 목표 성과를 달성,- 서류전형 -> 1차 인터뷰 -> 2차 인터뷰 -> 레퍼런스 체크 -> 처우 협의 ->최종 합격,"- 내/외부교육비지원(300-500만원 한도)
- 주택 관련 대출 이자 지원 제도 (정규직 재직 1년 이상)
- 종합건강검진 서비스 제공
- 마인드케어(EAP)프로그램 운영
- 체력단련비 지원
- 개인 경비 및 경조사비 지원
- 생일 조기 퇴근, 생일선물, 명절선물 지급
- 안식휴가(3년 근속시 10일, 6년 근속시 20일 부여)
- 자유로운 연차 사용
- 무제한 스낵바/카페테리아 제공
- 시차출퇴근제 '8 to 10 ~ 17 to 19'","서울시 강남구 테헤란로 231, 센터필드 WEST 6~7층", B2B 기업교육 경력 최소 2년 이상이신 분 HRD 에듀테크 DX 직무교육 등에 대한 이해가 높으신 분 조직 운영 및 세팅 경험이 있으신 분필요역량 다양한 교육 내용에 대한 빠른 학습능력 자기계발에 대한 욕심 이해관계자들과의 유연하고 명확한 커뮤니케이션 능력 갑작스런 이슈에 대한 문제해결력 교육 만족도 극대화를 위해 능동적이고 치열하게 고민하는 주도적인 자세 내가 맡은 교육 건에 대해 끝까지 결과를 만드는 끈기와 책임감 팀원을 코치하고 이끌어나갈 수 있는 리더쉽 기업교육 기획개발 경험 혹은 HRD 경력 보유 데이터 분석 혹은 프로그래밍 등 DX에 대한 이해 Impact 관점에서 생각하고 적극적인 실행력이 있는 분 국내 주요 대기업의 교육 담당자와의 네트워크 보유하신 분,909
미학원,정규직,"['교육기획', '교육운영', '교수설계', '교재개발']","미학원 회사 소개.
-런칭(2023. 01. 02) 이후 7개월간 총 11억 8천만원의 현금 매출 달성.
-450억 규모 부동산 디벨롭 회사 매각 등의 BD 포지션, 예술 대안 학교 코 파운더, 3M 데이터 운영 포지션 등의 출신의 팀원들. (총 11명)
-본사 사무실: 마포구 와우산로 110 (6, 7, 8층) (홍대입구역 7분 거리)

바우하우스를 만들고 싶습니다. 미술에 대한 꿈을 가진 학생과 그의 부모를 위한 교육 과정을 제공하는 온라인 교육 기관을 만들고 있습니다. 서비스는 PoC, Pilot 단계를 거쳐 MVP 구현 과정에 있습니다. BX, 에듀테크(빅데이터, 알고리즘 개발), 교육 연구 개발 역량이 중요한 회사입니다. 예술 학교 교감, 미술 선생님, 미술 연구소, 대기업 디자이너 출신이 다수입니다. ",에듀케이팅 직무에듀케이팅 부서에 소속되며 교육 프로그램 관련 업무를 진행적성학교생활진학진로컨설팅실기 등의 과목을 대상으로 온오프라인 경험성을 고려한 교육 프로그램을 연구 개발하여 제작 운영함 교수 설계해당 프로그램들은 모두 초중고대학생취창업 준비생들과 그의 보호자를 대상으로 함 교육 지원 과정 및 교육 과정을 기반으로 온라인 교육 플랫폼 US 및 SS 연구 개발 및 제작 운영에듀케이팅 부서에듀케이팅 부서는 아래와 같이 나뉨전략 기획 파트연구 개발 파트제작 운영 파트,"서류 > 대면 인터뷰 > 테스팅 타임 > 싱크타임 > 온타임. 
(현금 연봉 기준 3000-6000내 싱크타임에서 협의)","식대 제공. 주차 제공. 인센티브, OKR 성공 보수 등 패키지 협의. ","서울특별시 마포구 와우산로 110, 7층 미학원",이런 분이 잘 맞을 겁니다미술 교육을 많이 경험해서 이해도가 높은 분미대 입시 아동 미술 실무 교육 등 무관교육에 대한 비전이 있는 분예 예중 예고 입시 미술 학원들 더 좋은 방향으로 바뀌면 좋겠다 좋은 미술 선생님이 되고 싶다 등실무 경험을 할 준비가 된 분예 성장하고 싶다 팀으로 일할 최소한의 마인드셋 스킬셋을 갖췄다고 생각한다 기업을 만들고 싶은 분예 예술 문화 분야를 대표하는 기업을 함께 세우고 싶다우대사항 스타트업 및 프로젝트 경험 및 이해도가 있을수록 우리 팀을 매력적으로 느끼실 겁니다 멋진 커리어도 존중 받아야 마땅하지만 당장 현재 무슨 일을 할 수 있고어떻게 빠르게 흡수해서 퍼포먼스를 보일 수 있는 지를 가장 중시합니다 교육 시장 미술예술디자인 관련 교육 시장에 대한이해도가 높으실수록 우대합니다그러할 의지가 있다면,910
(주)케이뱅크,정규직,"['java', 'Spring', 'Oracle', 'spring boot']","금융이 꼭 필요한 이유는
우리의 자산을 불려주고
더 나은 가능성을 꿈꾸게 하는 것입니다.

케이뱅크는
고객의 시간을 아껴주고,
고객의 고민을 덜어주며,
선별된 투자 기회로 고객님이
자산을 키워가는 기쁨을 드립니다.

금융서비스의 변하지 않는 가치를 통해
조금씩 나아지는 생활의 변화를 함께 하겠습니다.

""합리적이고, 실용적인 은행 Kbank""",아래 두 역량의 지원자 중 적합한 업무 포지션으로 채용됩니다계정계 수신업무 개발운영 예적금파킹통장 상품 개발 및 운영 이체송금증권연계 서비스 개발 및 운영 해외송금 서비스 개발 및 운영계정계 고객업무 개발운영 비대면 계좌개설 EDD 전기통신금융사기 등 고객정보 및 금융사기예방 관련 개발 및 운영,,"• 일할 땐 일하고 쉴 땐 쉬어요
 - 나의 Life style에 맞추어 선택할 수 있는 시차출퇴근제
 -  묻지도 따지지도 않고 쓸 수 있는 연 3일 자기계발휴가
 - 그 외에도 기쁜 일을 축하하고 슬픈 마음에 위안이 되도록 경조휴가를 지원
• 나와 내 가족을 돌봅니다 
 - 아프고 다쳤을 때 든든한 힘이 될 단체보험 가입
 - 부모님께서 건강하셨으면 하는 마음에서 부모님 의료비 지원
 - 연1회 전문 검진기관에서 건강검진을 지원하며, 필요한 가족 1인도 가능
 - 어린이집부터 대학까지 자녀를 잘 키우실 수 있도록 자녀 교육비 지원
 - 법정 육아휴직 1년 + 케이뱅크에서 제공하는 1년 = 총 2년의 육아휴직 가능
 - 설과 추석에 마음을 담은 명절선물까지  
• 당신의 삶에 윤기를 더합니다
 - 자기개발에 쓸 수 있는 쏠쏠한 복지포인트 
 - 원활한 소통을 돕고자 통신비 지원
• 일에 몰입할 수 있는 공간과 환경을 지원합니다
 - 사옥 내 다양한 편의시설(간식자판기, 로봇커피, 안마의자 등)
 - 서울의 중심에서 즐기는 힙지로라이프","서울특별시 중구 을지로 170, 을지트윈타워 6층", 개발 경력이 5년 이상인 분 Java Spring SpringBoot  Oracle 을 활용하여 개발 업무가 가능하신 분 비지니스를 분석하고 설계 및 구현이 가능하신 분 다음 항목중 1개 이상만 충족하면 지원 가능 합니다   은행 수신상품에 대한 이해를 가진 분   이체송금 등 재무거래에 대한 이해를 가진 분   금융결제원은행연합회증권사 등 대외기관 연계업무에 대한 이해를 가진 분   개인 혹은 법인 고객 정보의 관리 및 life cycle에 대한 이해를 가진 분   해외송금 업무에 대한 이해를 가진 분 IT 경력 10년 이상 및 은행핀테크 회사에서 개발운영 경력이 3년 이상인 분 MSA CICD 컨테이너 환경에서 개발한 경험이 있거나 관심이 있는 분 새로운 업무나 기술에 대한 학습 및 성장 의지가 있는 분 어렵거나 복잡한 문제를 해결하는데 흥미를 가진 분,2272
케이웨더(주),정규직,"['해외영업', '영업관리', 'ERP', '환경안전']","[날씨 & 공기 서비스 기업]
Weather& Air Service Provider

`날씨산업을 통한 고부가가치 창출`을 목표로 1997년 설립된 케이웨더는 현재 약 4,000업체에 기상 콘텐츠를 제공하고 있습니다. 날씨와 공기는 우리 삶에서 떼어놓을 수 없는 필수적인 무형자산입니다. 케이웨더는 20여년간 쌓아온 날씨에 대한 노하우와 4차 산업혁명 기술을 활용해 수집한 공기 데이터를 바탕으로 우리 생활 공간 전반을 아우르는 환경 데이터 기업으로 거듭나고 있습니다.
", 환경센서온습도미세먼지환기청정 등 영업 국내외 거래선 발굴 및 관리 영업관리 업무ERP 자사 제품 마케팅홍보 전략 수립,,"• 자유로운 반차, 연차
• 자율 복장
• 패밀리데이
• 내일채움공제
• 각종 경조사 지원
• 휴게실 (커피머신 구비 및 커피, 차 제공)
• 야근, 주말 근무 시 식대 지원
• 명절 선물 지급
• 생일 축하금 지원
• 더블/트리플 모니터
• 병역특례(보충역)
• 사내대출제도
• 백신유급휴가
• 남성 출산휴가
• 자사 제품 구매시 할인","서울 구로구 디지털로26길 5 (구로동,에이스하이엔드타워1차)", 학력  학사 이상 경력  3년 이상 무역 영어 가능자 영업 가능자 영업 관리 ERP 경험자 관련 아이템 경험자,3853
