회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)모비데이즈,정규직,"['에디터', '운영', 'SNS', '컨텐츠', '서비스운영', '채널관리', '콘텐츠에디터']","[모비인사이드 소개]
IT / 마케팅 / 신성장 산업 / 스타트업 업계 소식을 전하는 NO.1 스타트업 전문 미디어  

모비인사이드는 업계 인사이트를 전달하는 동시에 회사에 필요한 비즈니스 역량을 확보하는
모비데이즈의 전문 미디어 사업부 입니다.  

오리지널 컨텐츠 제작을 목표로 컨텐츠 다양화와 보다 높은 전문성으로 산업 분야별 인사이드 가치를 공유하고 있습니다.
각 분야에서의 비즈니스 이슈를 진단하고 빠른 정보와 높은 동기부여를 가지고 있는 좋은 분들과 함께
잠재적 트랜드 이슈를 발굴하고 인사이드 컨텐츠를 생산하여 가치를 공유하고 싶습니다.

우리가 매일 교감하는 행동의 결과는 새로운 기업의 가치를 확장하고, 
나아가 자신의 삶에서 새로운 가치를 발견해 나갈 수 있을 것이라 생각합니다.          




[모비데이즈 소개]
""No.1 Mobile Business Company, Mobidays.""

모비데이즈는 마케팅 서비스와 솔루션, 데이터 등을 One-Stop으로 제공하는 모바일 전문 종합 애드테크 기업으로, 모바일 마케팅 업계에서 가장 젊고 빠르게 성장한 top player 입니다.

모비데이즈는 광고 업계의 새로운 플레이어로서, 우리가 하고 있는 사업과 행동을 통해, 세상에 '가치있는 놀라움'을 선사할 수 있는 조직이 되려는 사람들이 모여 시작되었습니다. 지난 8년의 시간 동안, 구성원 모두가 누구도 시도하지 않은 방법으로 도전하기를 꺼려하지 않았고, 경험치를 축적하며 가치있고 놀라움을 선사할 수 있는 일과 그렇지 않은 일을 가릴 수 있는 능력과 지혜를 길렀습니다. 

단일화된 마케팅 사업 뿐만 아니라 독자적인 마케팅 생태계를 구축하기 위해 일찍이 광고기술(AD-Tech) 플랫폼, 솔루션 사업, 그리고 다양한 유관 사업 부문(교육, 커리어 컨설팅, 뉴스 미디어, 컨퍼런스 등)으로 사세를 확장했으며, 그 결과 2021년 연 취급고 2,000억 달성, 2022년 코스닥 상장의 성과를 달성했습니다. 

'모비긱스'로 불리우는 모비데이즈 구성원은 ""최고의 복지는 최고의 동료들이다""라는 문장을 공유하며, 오늘도 경험하고, 기록하며 기존 광고 시장의 고정관념을 타파하고 누구나 치열하게 경쟁할 수 있는 구조를 만들기 위해 나아가고 있습니다. 모비데이즈는 다양한 사내 외 경영환경의 변화를 견뎌냄과 함께 각 개인과 조직이 꿈을 꾸며 지속적으로 도전할 수 있는 강한 기업이 되기 위해 ‘인재제일’의 가치를 표방하며, ‘인재’와 ‘인재가 되고자 피나는 노력을 하는 동료’들을 찾고자 노력하고, 인재의 반열에 오른 후에 최고의 대우를 하고자 합니다. 

함께 모바일 마케팅 업계에 가치 있는 놀라움을 선사할 인재를 기다립니다.",모비인사이드 미디어 플랫폼 운영 아티클  리포트  뉴스레터 컨텐츠 에디팅 및 릴리즈 SNS 컨텐츠 발행 및 채널 관리 사이트 관리 워드프레스 제휴매체 외부 필진 발굴 및 협업 내부 사업부 연계 협업 플랫폼 인바운드 광고 운영정산,,"[근무제도]
• 9시~ 10시 탄력근무제로 아침잠 많은 구성원들의 생활리듬을 존중해요.
• 2시간 단위 반반차 제도를 운영중이에요. (feat. 눈치보지않는 자유로운 연차 사용)

[조직문화]
• 이름+님으로 통일되어있는 호칭으로, 나이와 경력이 달라도 서로 존중하는 문화를 지향해요
• 각자의 개성을 존중하는 자율복장이에요. (슬리퍼, 모자, 반바지, 염색, 타투 전부 OK!)
• 매달 룩백리포트를 통해 경영진과 리더, HR에 의견을 전달하고 회사 문화를 개선해나가요.
• 매달 '이 달의 모비긱스' 를 선출하여 소소한 상품을 전달드려요.
• 개성 넘치는 캐릭터 명함, 메일 서명을 입사자 전원에게 만들어드려요.
• 매달 타 팀 모비긱스들과 친목을 도모하는 크로스런치와 모비데이즈만의 특별한 플레이샵이 있어요
• 설날과 추석 전날 명절 이브행사 진행! 재밌는 퀴즈쇼와 각종 행사를 통해 선물을 나눠가지고 자율적으로 퇴근해요.

[Benefits]
• 셀프연봉제도를 통해 6개월마다 본인의 성과를 어필하고 인정받을 수 있어요.
• 휴식, 식사, 업무용으로 언제든 사용가능한 쾌적한 라운지 공간과 안마의자와 침대가 있는 수면실에서 피로를 회복할 수 있어요.
• 매일 바뀌는 다양한 간식과 음료를 골라먹는 재미가 있어요.
• 부득이한 야근 시 지친 구성원을 위해 야근식대, 야근택시비, 도보 5분 거리의 제휴 비즈니스 호텔 이용비를 지원해드려요.","서울 강남구 역삼로8길 15, 2층, 3층", 3년 이상 컨텐츠 기획운영 업무 경험 또는 그에 준하는 역량을 보유하신 분 문장력이 뛰어나고 글 쓰는 것을 즐기시는 분 GA 등 데이터 분석 툴 활용이 가능하신 분 마케팅  스타트업  IT 분야에 관심을 가지신 분 커뮤니케이션 능력을 바탕으로 외부와의 협업에 익숙하신 분 플랫폼 운영 및 고도화 경험을 보유하신 분 미디어 광고상품 수익화최적화 관련 인사이트를 보유하신 분 언론 or 매체사 미디어 플랫폼 운영 경험이 있으신 분 기업 PR or 프로모션 마케팅 경험이 있으신 분 비즈니스 수준의 외국어 역량을 보유하신 분,4347
(주)쓰리아이,정규직,"['인사관리', '교육기획', '채용', '인재개발', '교육', '조직문화', 'hrd', 'HRM', '보상', '교육운영']","🦄  3i inc is hiring now!

주식회사 쓰리아이는 혁신적인 기술과 창의성을 바탕으로 29개국 이상의 국적을 가진 120여명의 직원들이 모여 www.pivo.ai 와 www.beamo.ai 를 개발하고 서비스하며 HW/SW 와 SaaS 개발을 동시에 하고 있습니다.    

창업 이래 2018 ICT 스마트 디바이스 대상, 2018 위치기반서비스 최우수상, 2020 아기유니콘기업, 2022 예비유니콘기업 선정 등 다양한 기관에서 서비스와 제품의 독창성 및 기술성을 인정받으며 매년 6-7배씩 폭발적인 성장을 이어가고 있는 쓰리아이는  #예비유니콘 에서 #유니콘 으로 도약중입니다!

성과와 능력에 따른 스톡옵션 및 보너스 제공, 급여 인상 등으로 함께 같은 꿈을 향해 달려온 모든 팀원들에게 사업의 성과를 함께 나눌 것입니다. 저희와 함께 세상을 혁신할 인재를 모십니다.
 
🔍 Learn more : www.3i.ai / www.pivo.ai / www.beamo.ai", 특정 업무에 국한되지 않은 조직 전반의 다양한 인사운영 및 기획 업무 지원  담당 다양한 구성원과 소통하며 임직원의 니즈 파악 및 이슈 대응을 통한 개선안 도출 평가보상 운영 및 고도화 HRM 전반적인 인사 업무 채용 프로세스 기획 및 운영 국내해외 우수 인재 발굴 및 타겟 인재 pipeline 관리  포지션별 채용 전략 수립 프로세스 기획 및 운영  조직문화 구축을 위한 각종 프로그램 기획 및 운영 교육이벤트 등 총무 업무 전반 구매관리 자산관리 등,서류전형 > 1차면접 > 2차면접 > 최종합격,"• 점심 식대 지원 
• 직급 및 포지션에 따라 스톡옵션 지급 가능
• 장기 근속자 포상
• 매달 우수사원 표창
• 매년 직원 건강검진 시행
• 편안한 자율 복장
• 초과 근무시 저녁식대 제공
• 임직원 생일선물 제공
• 조건 충족시 청년내일채움공제 신청 가능
• 3i Snack Bar: 다양하고 건강한 음료, 차, 커피 그리고 스낵 무한 제공
• 회사의 이익, 성장 기여도 및 개인 성과에 따른 정기 인센티브(연 1회) 및 수시 인센티브(연중 수시)
• 설, 추석 명절 상여 지급
• 회사제품 임직원 할인
",서울시 강남구 역삼로 25길 23 대일테크빌딩 (역삼동), HRM  HRD 유경험 비즈니스 영어회화 가능자 논리적이고 합리적인 문제해결 능력을 갖추신 분 꼼꼼하고 책임감 강하신 분 밝고 긍정적인 에너지를 가지고 계신 분 원활한 내외부 커뮤니케이션 가능자 인사제도 및 운영에 대한 이해 및 HR 전반 업무에 대한 관심적극성 원활한 커뮤니케이션 스킬 및 문서 작성 능력 IT스타트업 및 인사운영에 대한 이해 해외 인사 유경험자 ,4348
