회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)케이템,정규직,"['C#', '영상처리', 'opencv']",역량있고 유능한 인재를 모집합니다.,Vision Image ProcessingVision Algorithm 개발Vision UI 제작,,,"인천 연수구 송도미래로 30, J동 2207호",C Open CV 프로그램 사용 가능자영상처리 라이브러리 VPRO Mill EVision 할콘 사용 경험자Vision SI 근무 경험자,3337
(주)디어유,정규직,"['java', 'aws', 'elastic search', 'Leadership']","(주)디어유는 코스닥상장사로서 (주)SM엔터테인먼트의 IT계열사 입니다. 팬과 아티스와의 소통 할 수 있는 커뮤니케이션 & 커뮤니티 서비스를 런칭하여 사업을 운영, 확장 중에 있습니다. 주요 사업은 커뮤니케이션 플랫폼 기반 APP ""버블""과 SBS 판타스틱 듀오 이벤트를 진행했던 노래방 APP ""everysing"" 이 있습니다.  엔터테인먼트의 팬덤을 바탕으로 보다 다양한 국가에서 서비스를 확장. 제공하고 있습니다. 2022 브랜드 고객충성도 대상 팬덤플랫폼 부문 1위를 수상하였습니다. 2022 수출의 탑 천만불탑을 달성하였습니다.",프론트엔드백엔드의 설계 구현 운영 및 개발인력의 Lead성능테스트 도구를 활용한 서비스 안정성 검증 및 튜닝SCM CI 운영 협업 도구들을 활용한 개발생산성관리,서류전형 > 실무진 면접 > 임원 면접 > 최종합격,"• 출퇴근: 자율(시차)출퇴근제
• 교육: 신입사원 교육(OJT) / 리더쉽,직무교육/ 사내 외국어 강좌운영
• 지원금/보험: 단체상해보험 / 건강검진지원/ 독감예방접종 지원
• 조직문화: 수평적 조직문화 / 자율복장/ 님,닉네임 문화
• 근무환경 : 사원증지급 / 카페테리아운영/ 스낵바 운영, 웰컴KIT지급
• 급여제도 : 4대보험/연차수당/퇴직연금/ 회식비, 중식비 지원, 임직원 우수인재 추천보상제도 운영/ 통신비 지원
• 선물: 명절선물/귀향비 지급
• 리프레쉬: 연차,반차/ 경조휴가 / 장기근속 포상
• 기타: 계열사 할인","서울 강남구 삼성로 633, 4층",커뮤니케이션커뮤니티커머스 서비스의 서버개발에 대한 높은 이해도 및 경력10년 이상기술표준오픈소스상용솔루션을 활용한 서비스 구현 운영 등 실무 경험AWS의 infra 및 managed service에 대한 충분한 지식과 실무 경험Elastic APM 등 성능 모니터링에 대한 지식과 실무 경험정보통신 전자전기 컴퓨터 등 전산관련 학사 이상정보처리기사 자격증 소지자AWS 등 클라우드 기반 개발 경력Python 웹 프레임워크 기반 개발 실무 경력DjangoFlaskMySQL 및 NoSQLRedis Elasticsearch 실무 경력대용량 서비스 개발 및 운영,3338
