회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
캐롯손해보험(주),정규직,"['Oracle', 'BI', 'SQL', 'dw', 'etl']","캐롯손해보험은 한화, SKT, 현대자동차, 알토스벤쳐스, 스틱인베스트먼트 등 대형 투자사들이 함께 합작하여 설립한 국내 최초의 디지털 손해보험사입니다.

사물인터넷(IoT) 등 정보통신기술(ICT)를 결합하여 더 간편하고 부담 없는 생활 밀착형 보험 서비스를 통해 고객에게 보험의 새로운 패러다임을 제공하려고 합니다.

캐롯은 모두가 '당연하다'라고 여기는 불평등과 불편함에 대해 고민했습니다.

세워두기만 한 차에도 동일한 보혐료를 내야하는 불평등, 매번 모든 정보를 입력하고 가입해야하는 불편함.

일상 속에서 너무나 당연히 받아들였던 오늘의 불편을 내일의 가치로 만들어갑니다.
생활 속 어떤 것도 보험 서비스가 될 수 있는 보험 스타트업 캐롯에서는 당신의 아이디어가 가치있는 보험이 됩니다", 캐롯 주행계약 관련 지표 생성 및 제공해요 Datawarehouse 및 Data mart 관련 스키마 설계 및 workflow 스케쥴링을 해요 Hadoop 기반 DW 구축 및 운영wData engineer을 해요 Power BI 활용한 BI Dashboard 개발을 해요,"• 해당 직무는 수시채용으로, 채용 완료 시 공고가 마감될 수 있어요.
• 지원서를 허위로 기재할 경우 불합격 또는 입사가 취소될 수 있어요.
• 국가보훈대상자 및 장애인은 관계법에 의거 우대해요.
• 경력직의 경우 처우협의 단계에서 지원자의 정보 진위를 판단할 수 있는 증빙서류 제출이 요구될 수 있어요.","[성장을 위한 휴식]
• 매년 복지포인트 200만원
• 설 차례비 지급
• 체력단련 휴가 5일
• 시차출퇴근제
• 자격증 취득 지원
• 무제한 온라인 교육 지원
• 연차사용 장려포인트 35만원
• 연차 숙박비 지원
• 근로자의 날 선물
• 한화계열사 할인 혜택
• 온라인 독서 플랫폼 지원
• 경조금 및 경조휴가 지원

[소중한 가족과 함께]
• 직원 및 배우자 단체상해보험
• 임직원 및 배우자 건강검진
• 자녀 학자금 지원
• 자녀보육수당 지원
• 수험생 자녀 응원선물
• 맘스패키지 선물
• 모성보호제도 운영","서울 중구 을지로100 파인에비뉴 B동 20층, 캐롯손해보험", BI 및 ETL 관련 분야 경력 5년 이상이신 분이 필요해요 DW 데이터 모델링 Skill이 있으신 분이 필요해요 BI 툴 활용 및 Hadoop에 대한 연동을 이해하신 분이면 좋아요 BI 업무의 보다 효율적인 적용을 위한 경험을 보유하신 분이면 더 좋아요 시스템 구성상 전통적인 리포트툴로 적용하는 것보다 효율적인 오픈소스를 사용한 일부 실시간성 리포트 생성 관리를 하시는 분이면 좋아요,0
잡플래닛,정규직,"['데이터분석', 'BI', 'python', 'SQL', 'Tableau', 'POWER BI']","더 나은 선택은 없을까?
 지금 이 순간에도 잡플래닛을 방문하는 월 300만명의 회원들은 이것이 최선인지 고민합니다. 그래서 잡플래닛은 취업과 이직이라는, 인생의 갈림길에서 뒤돌아오지 않아도 되는 결정을 하는데 무엇이 필요한지 어떻게 해야 할지 고민합니다. 동시에, 안주하지 않고 쉼 없이 성장해 온 기업이 가치에 걸맞는 인정을 받을 수 있는 사회를 그립니다. 모두가 '잡플래닛 덕분에 더 편해! 더 좋아졌어!'라고 말하는 세상을 꿈꾸며, 구직자, 기업, 공공기관 등 모두가 더 나은 선택을 하는데 필요한 플랫폼을 만들어 갑니다.
 
 구성원들의 커리어가 좋아지려면 어떻게 해야 할까?
 잡플래닛은 유저 뿐만 아니라, 우리 팀의 커리어도 고민합니다. 지금보다 더 매력적인 커리어가 되려면 무엇이 필요할까요?
 우리의 답은 2가지 입니다. 첫째, 더 나은 포트폴리오를 위해 개인의 권한과 프로듀싱 속도를 높이는 것, 어디가도 성장 경험을 갖추었다고 납득할 만한 수치적 성장을 확보하는 것. 이를 위해 조직을 애자일하게 움직이며 work scope보다 R&R을 중시합니다. 인위적이고 획일적인 문화보다는 '사람 스트레스' 없는 환경을 지향하며, 경험이 주는 편견보다 데이터가 보여주는 의외의 논리를 신뢰합니다. 우리 팀은 서로를 위해 회사의 성장을 고민합니다. 그래서 서로에 대한 배려와 비전에 대한 공감대를 바탕으로, 범국민적인 플랫폼을 만들어갑니다. 우리는 팀 '잡플래닛' 입니다.
 
 잡플래닛의 비전에 공감하는 분들의 많은 지원 부탁 드립니다.
 
 잡플래닛에 대해 더욱 자세히 알아보기 https://www.notion.so/12051b10bdbb4e77913ce9b645ab0579", 전사 Business Intelligence  Dashboard Report 개발 분석 및 운영 전사 및 각 부서의 전략적인 데이터 기반 의사결정을 지원하기 위해 주요 지표 개발 전사의 주요 지표들에 대한 Descriptive Diagnostic Predictive Prescriptive 분석 복잡한 데이터 인사이트를 여러 이해관계자들이 쉽게 이해할 수 있도록 명확하고 간결하게 소통 새로운 기술을 탐색 및 수용하고 업계 모범 사례를 연구하며 BI Dashboard와 Report를 최신 상태로 유지하여 데이터 분석 기술을 지속적으로 개선,"[전형 프로세스]
• 서류전형 -> 1차 실무 인터뷰 -> 2차 협업부서 인터뷰 -> 3차 CDO 인터뷰
* 진행 과정에서 필요 시, 전형단계 감소 또는 추가 될 수 있습니다.


 [제출서류]
• 이력서, 포트폴리오"," - 분 단위 시차 출퇴근제 (오전 7시~ 오전 10시 사이 자율 출퇴근)
 - 야근하지 마세요😢 그래도 하게 된다면 교통비 및 식대 지원합니다.
 - 직원이 건강해야 회사도 건강하다💪 건강검진 지원
 - 오늘보다 내일 더 ! 올해보다 내년에 더! 자기 개발비 지원
 - 각종 세미나, 포럼, 교육 참석 지원합니다.
 - 잡플래닛 맴버 대소사 걱정을 덜어드리는 경조사비 지원
 - 매 월 마지막 금요일 Refresh할 수 있는 하프데이🎈
 - 기본 연차 외 별도의 여름휴가! 눈치보지 않는 휴가 사용
 - 의료비 더이상 걱정말아요! 연 최대 200만원 의료비 지원👩‍⚕️
 - 즐거운 생일 회사에서만 보낼 수 없죠 ! 생일날은 나만의 하프데이💃
 - 업무 관련 도서구매 무.제.한 ... 두둥! 📚📚📚
 - 커피, 음료 등 간식 무제한 제공 ! 🍫☕🥤 
 - 내부 직원 추천 제도 : 실력 있는 인재 추천에 대한 보상💰
 - 추천직원 6개월 근속 시 보상금 100만 원 지급
 - 1년 이상 재직자 '스톡옵션' 지급","서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층",자격 조건 SQL 상급 파이썬 중급 Data Visualization 소프트웨어Tableau Power BI Looker 등  상급 Data Mart Data Warehouse Database Management에 대한 깊은 이해 비즈니스 도메인 지식 학습에 적극적인 자세 비즈니스 프로덕트 개발자 등 이해관계자들과의 유연한 커뮤니케이션우대 사항 Statistics Econometrics Applied Science Operational Research 전공자 Sales 나 Marketing 프로세스에 대한 이해 또는 실무 경험 Airflow GCP Dataform에 대한 경험 ADP ADsP SQLP SQLD 자격 보유 IIBA Certification 보유  AAC CBDA,1
(주)포바이포,정규직,"['재무', '세무조사', '손익분석', '재무총괄']","“Into the NEW ERA” 

2017년에 설립된 주식회사 포바이포는 월드클래스의 초고화질 제작 솔루션의 기술역량을 보유하여 시각을 연구하는 비주얼 테크 기업입니다. 
주된 분야는
1.	키컷비주얼: 글로벌 가전 기업의 전시, 광고, 제품 홍보용 영상 콘텐츠의 기획, 제작 서비스를 제공하며 크리에이티브한 뉴미디어 콘텐츠를 제공
2.	키컷스톡: 초고화질 프리미엄 영상 플랫폼
3.	픽셀: 독자 개발 화질개선 솔루션

최고의 경험을 위한 프리미엄 콘텐츠 제작을 위하여 화질개선 연구소를 보유하고, 관련 특허를 출원하고 있습니다. 한계를 넘어서는 화질과 연출, 몰입감 넘치는 콘텐츠를 위하여 다양한 제작 기술을 직접 개발하며, 압도적인 기술력으로 업계를 선도하고 있습니다.", 재무총괄회계세무자금 연간 경영계획 수립 장기적 재무적 손익분석 및 예측 MA 업무 회계자료 결산 회계감사 세무조사 실사 등 업무 총괄 재무관리 프로세스 수립 및 핵심지표 관리 사업 특성에 따른 재무회계측면 리스크 검토헷징 재무비재무적 데이터 기반으로 각종 비즈니스 의사결정 제안 투자유치 IR 및 투자자 커뮤니케이션,,"[근무환경]
- 월요일 출근 1pm - 퇴근 7pm  (화~금 10am-7pm)
- 점심시간 12:30~13:30
- 웰컴키트 제공 (후드집업, 티셔츠, 에코백, 머그컵, 스티커 등 다양한 굿즈)
- 직무에 따른 최신형 장비 지원 

[혜택 및 복지]
- 365일 에브리데이 스낵바 운영 (다양한 음료/커피 및 간식 무제한 제공)
- 인센티브제 운영 
- 시간제 연차휴가제도 (1시간 단위로 개인 맞춤 연차 사용 가능)
- 생일자 유급휴가 지원
- 가정의달 유급휴가 지원
- 종합건강검진 (가족 동반 1인)
- 단체 상해보험 (개인 실비포함)
- 청년내일채움공제 지원참여 
- 필요시에만 야근하며 석식비, 야간교통비 지원
- 그외 다양한 혜택 및 복지를 운영중입니다. :)","서울 서초구 강남대로 479, 12층,13층,14층", 기업재무 총괄 책임자 경험 1년 이상  해당 직무 경력 10년 이상 회계법인 경험자 회계관련 공인 자격 보유자CPA AICPA 빠르게 성장하는 IT  스타트업을 경험해보신 분 1년 이상의 CFO 경험해 보신분 IPO 과정 전반을 경험하고 리드해 보신 분 투자 유치 경험 및 금융기관 주요 투자 기관과 넓은 네트워크를 보유하신 분 탁월한 커뮤니케이션 역량으로 경영진 주요 이해관계자들과 협업을 이끄는 분  MA 경험자 상장사 실무 경험,2
(주)딥엑스,정규직,"['c', 'C++', 'python', 'Linux', 'fpga', 'Perl', 'verification', 'embedded linux']","딥엑스는 인공지능 기술로 인류문명 발전에 기여를 하고자 세계 최고 수준의 AI 반도체 원천기술을 연구개발 하는 스타트업 기업입니다. 딥엑스의 NPU가 적용될 AI 반도체 시장은 2025년까지 85조 이상의 급격한 성장이 예상되는 거대한 시장으로 우리는 빠르게 변하는 시장에서 기술 리더십을 보유하기 위해 원천기술 확보에 매진하고 있습니다. 우리는 이 도전을 함께 할 열정적인 동료를 찾고 있습니다.

AI 기술이 시대의 패러다임으로 자리잡는 길목에서 동료들과 효과적으로 협업하고 의미 있는 성과를 내기 위해 자신의 재능을 적극적으로 활용하실 분들을 딥엑스로 초대합니다.", IP and SoC Design Verification AI 하드웨어 프로세서 설계 및 개발 관련,,"• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 업무Tool Kit (최신 사양 노트북, 24~32인치 듀얼모니터, 스탠딩 데스크 등) 제공
• 커피, 티, 두유, 비타음료 등 다양한 바리에이션의 음료와 간식 무한 제공
• 점심, 저녁 든든한 식사 지원
• 생일자 생일축하금(20만원) 지급 및 16시 조기 퇴근
• 기혼자 결혼기념일축하금(20만원) 지급 및 16시 조기 퇴근
• 미혼자 크리스마스축하금(20만원) 지급 
• 설/추석 명절선물비(30만원) 지급
• 경조휴가 및 경조금 지급
• 전직원 주식증여
• 구성원 건강검진 지원 (2022.01부)
★ 복지는 딥엑스의 성장과 함께 지속적으로 업그레이드 됩니다.","경기도 성남시 분당구 판교역로 241번길 20, 미래에셋벤쳐타워 5F", System Verilog UVM C 를 이용한 IP 및 SoC Full chip 검증 IP 및 SoC Full chip Test plan 작성 및 검증 Coverageconstraint 등 Verification Methodology 스펙 기반의 verification attribute 와 coverage model 추출 IP 및 SoC Design 기능을 디버깅 Linux Shell Tcl Python Perl 활용 역량 Linux OS 기반 환경에서 개발 경험 및 역량 CC and object oriented programming 기반으로 기술된 알고리즘 이해와 설계 개발 경험 및 능력 ARM processor and debugger 경력 ACEAXIAHBAPB Bus 경력 ASIC Verification 경력 인공신경망 및 딥러닝 관련 지식,5141
