회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)띵스파이어,정규직,"['설비', '서비스기획', '환경', '제조기술', '컨설턴트', '리포트 작성']","(주)띵스파이어
글로벌기반 에너지/탄소회계 SW 플랫폼 개발자/기획자 모집!
띵스파이어는 에너지/탄소관련 소프트웨어 플랫폼 및 AI 전문 기업으로, 직원 29명, 22년 매출 29억, 순이익 6억, 신용평가등급 BB-입니다.
현재 가상유틸리티기반에너지공유시스템, 전기차데이터플랫폼 구축등, 에너지자급자족 인프라 구축 플랫폼서비스 등 R&D 및 사업에 참여하고 있습니다.
태양광발전예측, 풍력블레이드 이상진단 등 AI 분야도 진행되고 있습니다.
최근 3개산단 210개 공장을 대상으로 하는 Cloud 기반 FEMS 서비스 구축사업의 위탁개발회사로 지정되었고, GIS 기반 에너지빅데이터서비스(www.energis.kr) 운영중, POC 개념의 글로벌 탄소지도 포함 스마트에너지플랫폼 연계 중소기업 탄소량 산출(Scope 1, Scope2) 서비스 구축 용역 수주 및 당사는 Carbon Accounting 플랫폼을
자체 R&D 진행 중으로 현재 10여만개의 탄소배출계수 확보 및 23000여개의 가공 DB 확보 및 API 개발 중입니다.
글로벌 서비스를 위해 영어 버전으로 개발 되고 있으며, 우선 스마트에너지플랫폼 수용가 대상 서비스가 2023년에 예정되어 있습니다.
또한, 제조업 중심으로 절감된 에너지 절감분을 오프셋 거래가 가능하도록 하는 부분과 Carbon Analytics를 아우르는 종합적 카본 플랫폼을 구축해나가고 있습니다.
",제조업대상 LCA 컨설턴트로 탄소배출계수 적용 및 리포트작성탄소회계 서비스기획,서류전형-임원면접-최종합격,"주5일근무
연차,반차,경조휴가
4대보험,퇴직금
각종 경조금 지원, 인센티브제, 장기근속자 포상, 성과급
건강검진
교육비 지원, 자기계발비 지원, 도서구입비 지원
국민연금, 고용보험, 건강보험, 퇴직연금
휴게실, 카페테리아, 사내정원
육아휴직, 노동절 휴무
워크샵/MT","서울 용산구 한강대로96길 27, 1층",학력  대졸이상경력 경력5년이상영어능통자원어민수준석사학위 수여자유관업무 경력자 5년,2637
(주)세기알앤디,정규직,"['pads', '하드웨어설계', 'RF', '전장설계', '전자회로설계', 'adas']","당사는 SEGI LIMITED(홍콩)가 2008년에 설립한 제품 연구개발과 한국 내 영업을 전담하는 법인으로 설립되었으며, 2012년부터 현대모비스를 경유하여 미국/캐나다의 현대차/기아차에 장착되는 원격시동기를 공급하고 있으며 공급 품목이 토우바 램프 제어기, 무선포그램프 Kit로 확대되었으며, 텔레매틱스 단말기(LTE)는 미국과 한국에 판매하고 있으며 주요 연혁은 다음과 같습니다.

■ 2011년 : 미국향 2G 텔레매틱스 단말기 개발
■ 2012년 : 미국 기아자동차에 원격시동기 공급 시작 (현재까지 공급하고 있음)
■ 2014년 : 한국 3G 텔레매틱스 단말기 개발 및 매직카모바일시스템 런칭
■ 2018년 : 현대모비스향 토우바램프 제어기(Tail light converter) 개발 & 공급 시작
■ 2019년 : 현대모비스향 무선포그램프 Kit 개발 & 공급 시작
■ 2020년 : 한국 4G 텔레매틱스 단말기 개발 후 판매 (누적 가입자 8,000명 사용 중)
                    생활방수 지원하는 양방향 Color LCD 리모트(RCJ500) 개발 및 런칭
■ 2022년 : 현대모비스 브링앤티 서비스 키박스 개발", HW전장설계,서류전형 -> 실무자면접 -> 임원면접,"• 초과이익분배금 (PS)지급
• 대학병원 임직원 건강검진 실시
• 주택구입(임차) 대출제도
• 선택적 복지제도(복지포인트) 실시
• 퇴직연금(DC형) 제도 
• 직원 기숙사 운영
• 중/석식 제공","인천 부평구 부평대로 283, C동 7층", 경력  10년이상 대졸이상 전자전기전파통신 관련 전공자 RF 시스템 설계 및 양산 유경험자 PADS 회로 설계 프로그램 사용 가능자 RF 제품 개발 및 양산 유경험자 자동차 전장 제품 개발 및 양산 유경험자 IoT  ADAS 관련 제품 개발 및 양산 유경험자 컴퓨터 활용 및 문서 작성 능력 우수자 기초적인 영어 작문 회화 독해가 가능한 분,5203
나인정보통신(주),정규직,['운전면허'],"나인정보통신㈜는 2012년에 설립된 회사로 자본금 1억원, 매출액 35억, 사원 수 8명 규모의 중소기업입니다. 
서울 금천구 가산디지털1로 84 (가산동, 에이스하이엔드타워8차)에 위치하고 있으며, POS,  카드 단말기 사업을 하고 있습니다.", POS 기기 및 카드 단말기 설치 POS 프로그램 설치 및 가맹점 교육 POS 및 프로그램 유지보수 서비스 업무,서류 전형  >  1차 면접  >  최종 합격,"퇴직연금,  특근수당,  4대보험,  명절선물 / 귀향비,  임신/출산 선물","서울 금천구 가산디지털1로 84, 1003호", 경력  무관 신입도 지원 가능사원 팀원급 근무 일시  주 5일   일요일목요일 or 토요일수요일 09001800 인근 거주자 운전 가능자 해당 직무 근무경험,5204
(주)서플러스글로벌,정규직,"['해외영업', '국내영업', '반도체장비', '거래선관리', '해외사업', '부품구매', '시장개척', '장비영업', '외국어(영어)', '커뮤니케이션 능력']","""우리는 직원을 채용하지 않습니다. 우리의 동료를 찾습니다.""

우리는 창조적이고 스스로 동기부여를 하는 열정적인 동료가 회사 발전의 초석이며 가장 소중한 자원임을 알고 있습니다.
우리는 모든 동료들이 서로를 존중하며 자아성취를 이룰 수 있도록 좋은 일터를 만들기 위해 최선을 다하고 있습니다.
또한 우리 동료들이 각자 인생의 꿈을 성취할 수 있도록 기회를 제공하고자 최선을 다하고 있습니다.
창사 이래로 20여년간 다양하고 많은 거래 경험과 정보, 우수한 인력과 차별화된 인프라를 기반으로 중고 반도체 장비 시장에서 글로벌 1등 시장을 선도하고 있습니다.
미국을 비롯해 유럽, 일본, 한국, 대만, 중국 등의 세계적인 기업들과의 거래하고 있으며, 고객에게 유휴장비 매입매각 , Refurbishment, Reconfiguration, 매입매각대행 등의 다양한 서비스로 최선의 솔루션을 제공하고자 노력하고 있습니다.
수평적이고 Open 커뮤니케이션을 통해 적확한 의사결정을 추구하며, 1조가치의 회사로 성장하기 위해 국내외 90여명의 전문가들이 최선의 노력을 다하고 있습니다",이런 팀에서 일을 합니다  Parts팀은 신규사업으로 Legacy 반도체 장비의 Parts를 유통하고 있습니다 Parts팀은 Sales manager 와 DB manager 로 직무가 구분되며 현재 5년15년 경력을 가진 4명의 팀원이 업무를 진행하고 있습니다 국내 팀과 중국 미국 일본 싱가포르 대만 법인 동료들과 협업하여 영업활동을 진행합니다이런 업무를 합니다  반도체 Legacy 장비 부품의 국내 해외 영업활동을 수행합니다 반도체 Legacy 장비 부품의 국내 해외 공급선을 발굴하며 SCM을 수행합니다 반도체 Legacy 장비 부품의 마켓플레이스를 구축합니다 Global Parts flatform의 구체적인 전략과 실행계획을 수립하고 사업의 매출향상을 위한 기회를 찾습니다,"• 서류전형 - 역량검사 -  1차 인터뷰(직무) -  2차 인터뷰(문화 적합성) - 석식 인터뷰 -  처우협의 - 최종합격 및 입사
• 지정 양식이 없으며, 자유양식으로 제출된 지원서를 검토합니다.
   (프로젝트(사용 기술, 본인 역할, 성과) 중심으로 경력기술서 구체적으로 작성해 주시기 바랍니다.)
• 서류 합격자에 한하여 온라인지원서 작성을 요청드리며, 이후 온라인 역량검사를 진행합니다.
• 소속팀장과 함께일할 동료가 참석하여 실무중심으로 직무 인터뷰를 진행합니다.
• 경영진과 서플러스글로벌 DNA 부합여부를 확인하기 위해 문화 적합성 인터뷰를 진행합니다.
• 회사와 후보자가 서로를 잘 알 수 있도록 자유로운 분위기에서 석식 인터뷰를 진행합니다.
• 회사내규에 따라 면접후 처우협의를 진행합니다.
• 최종합격후 후보자와 일정조율하여 입사를 진행합니다

[다음을 꼭 유의해 주세요. ]
• 입사지원서의 내용이 사실과 다른 경우 합격이 취소됩니다.
• 전형 단계 및 일정은 변동될 수 있습니다.
• 상황에 따라 검증 절차 추가되거나 생략 될 수 있습니다.
• 수시전형 특성상 조기마감될 수 있습니다
• 서류전형 합격자에 한해 개별로 상세 전형일정 안내드립니다.",,경기 용인시 처인구 남사읍 서촌로 56, 반도체 장비전후공정 및 부품 또는 관련산업자동차 전자등 15년 이상의 영업경력이거나   Legacy 부품 구매 및 거래선 발굴 가능한 15년 이상의 구매경력이 필요합니다 해외법인 동료 해외고객과의 소통을 위해 영어로 소통이 가능해야 합니다 의견을 자유롭게 개진하며 상대방을 존중하는 커뮤니케이션 능력이 필요합니다 주도적으로 자신의 일을 찾아 문제를 해결하고 개선하는 능력이 필요합니다 동료들과 업무 협업이 가능해야하며 변화에 유연하게 적응할 수 있어야 합니다 긍정적인 사고를 가지고 목표를 달성하고자 하는 열정이 있어야 합니다 최고수준의 투명성과 도덕성이 필요합니다 반도체 산업 장비 경험 및 이해가 있으면 더 좋습니다 일본어 또는 중국어가 가능하면 더 좋습니다 마켓플레이스 구축경험이 있으면 더 좋습니다,5205
