회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
삼지전자(주),정규직,"['운전면허 1종보통', '출고관리', '생산 제조 포장', '근면성실']",업력 42년의 중견기업이자 코스닥 상장사인 삼지전자에서 다음과 같이 유능하고 역량있는 인재를 모집합니다. 당사와 함께 미래를 이끌어 나갈 분들의 많은 지원 바랍니다,중계기 포장 및 출하 담당,"경력 : 신입
학력 : 고졸 이상
근면성실 기본 소양을 갖춘 자","유관업무 경험자
인근거주자 우대
1종 보통 자동차 면허 소지자
기숙사 거주 가능자 우대","서류전형-실무면접-최종합격

제출서류 : 이력서, 경력기술서 (신입사원 지원자의 경우 성적증명서 제출 必)","기념일 상품권 지급
퇴직연금, 경영성과급
자녀 대학 학자금지원
종합건강검진 지원(배우자 포함)
기숙사 지원 (1인 1실)
동호회 운영 (산악, 축구동호회)
조식, 중식, 석식 무료제공",경기 화성시 금곡로 63-27,['포장/조립 '],['생산/제조'],['포장/조립 ']
(주)덴티움,계약직 (정규직 전환 가능),"['생산', '포장', '자동화설비']","하였습니다.

덴티움의 주력 제품은 국내 최초 특수 표면처리 기술(SLA)이 적용된 임플란트 제품이며, 22년 이상의 장기 임상데이터 보유와 함께 뛰어난 생체 친화적인 표면처리 기술을 통해 외형적인 심미성 뿐만 아니라 임플란트 식립 후 체결성, 안정성, 호환성에 있어 뛰어난 장점을 갖고 있습니다. 또한, 임플란트 시술에 필요한 수술도구 제품 뿐만 아니라, 정교하고 편리한 치료를 위한 치과 기자재, 치과재료, 골이식재(합성골) 등의 생체재료를 연구, 개발, 생산하고 있으며, 국내 유일 자체 기술로 개발된 bright alone, bright CT, 밀링머신 등의 통합 임플란트 시스템을 자체 생산하고 있습니다. 특히 매출의 70% 이상이 해외시장에서 발생하고 있으며 전 세계의 Dental 의료 발전을 위해 많은 투자와 연구를 진행하고 있습니다.

또한, 자사는 각국의 석학들과 전문의들을 매년 초빙하여 국내외 임상관련 세미나, 포럼 등을 활발히 개최하여 임상의학의 발전에 기여하고 있습니다. 이를 통해 임플란트 관련 임상 정보를 교류하여 의료기술 발전에 앞장서고 있습니다.

끊임없는 R&D 투자와 함께 100% 전수검사를 기반으로 한 품질 절대주의 실현으로 전세계 70개 이상 국가로 수출하고 있으며, 향후 글로벌 TOP 3 진입을 위한 글로벌 기업으로 꾸준히 성장하고 있습니다.

덴티움은 세계적으로 인정받고 있는 치과용 임플란트 제품 이외에도 생체 재료 분야에서도 폭넓은 연구개발을 통해 골이식재, 차폐막 등 다양한 골재생과 치주조직 재생 관련 제품들을 개발하고 있습니다. 2010년부터는 ICT 사업 본부를 설립해 3차선 방사선 기계인 CBCT, CAD/CAM 시스템을 자체 개발해 임플란트 시스템과 연계하여 통합 임플란트 시스템을 구축, 'Total Solution Provider & Self Development Manufacturer'을 실현하고 있습니다.

덴티움의 임플란트는 국내에서 유일하게 22년 이상의 장기 임상 데이터를 보유하고 있습니다. 관련 논문은 SCI급 저널인 IJPRD에 출간돼 장수 브랜드로 인정받고 있고, 97.9%라는 높은 Survival rate를 보임과 동시에 안정적인 Bone level을 나타내며 안정성까지 입증했습니다. 덴티움은 IMPLANTIUM의 앞선 기술력을 바탕으로 효과적인 제품 라인업을 구축해 시술자의 편의성을 증대하고, 보다 안정적이며 인체에 최적화된 임플란트 시스템을 제공하고 있습니다.

덴티움은 2030년 GLOBAL TOP 3을 목표로 자체 연구개발을 통한 차별화된 기술력을 확보하여 최고 품질의 임플란트 시스템을 제공하기 위해 지금 이 순간에도 연구개발에 매진하고 있습니다.","    ㆍ 덴티움 임플란트 자동화생산팀 자동화 설비 운용
    ㆍ 클린룸 내부 및 외부 설비 운용(클린룸 입장 시 방진복 착용 必)","ㆍ 학력 : 무관
ㆍ 경력 : 1년 이상 (신입 지원 가능)
ㆍ 계약직 6개월 (평가 후 정규직 전환 가능)","ㆍ인근 거주자
ㆍ해당 직무 근무 경험자","1. 서류 전형
2. 인적성 검사 및 1차 실무면접
3. 처우 협의
4. 최종 입사","1. 여름휴가 유급 지원
2. 사내식당 운영
3. 명절선물 지급
4. 각종 경조사 지원
5. 장기근속자 포상
6. 편의시설 운영(Fitness Center, 도서관, 풋살장, 무인 커피머신 등)
7. 기숙사 운영
8. 우수사원 포상
9. 사내 근로복지기금 운영","서울특별시 강남구 테헤란로 87길 21, 10층(삼성동, 동성빌딩) ","['기계/기계설비 ', '생산/제조', '포장/조립 ']",['생산/제조'],"['기계/기계설비 ', '생산/제조', '포장/조립 ']"
(주)이너프유,정규직,"['생산', '품질관리', '생산관리', '포장']","저희는 아기들을 위한 온/오프라인 통합 영유아 맞춤 식단 솔루션을 만들고 있습니다.
현재 모바일 영양관리 앱 '이너프 - 쉽고 똑똑한 영양관리, 육아필수앱'과 이유식 밀키트 '이너프 이유식'을 운영하고 있습니다.

20~30대로 구성된 젊은 스타트업이며, 고려대기술지주, 포항공대기술지주, 스파크랩 등 유수의 투자사에서 투자를 유치한 바 있습니다.
저희 서비스에 대한 시장의 니즈는 이미 검증 되었고, 빠른 속도로 고객 수가 늘고 있습니다.
이유식을 넘어, 온/오프라인 식단 솔루션으로 기존 시장을 혁신하고자 합니다.","- 이유식 밀키트 생산/포장 공정을 관리합니다.
- 생산/포장 담당 인력들을 관리 및 감독합니다.
- 생산/포장 공정을 효율적으로 최적화시킵니다.
- 대량 생산/포장 공정 시스템을 구축합니다.
- 제품 출고 및 재고를 관리합니다.","- 식품 관련 생산/포장 관리 경험이 있으신 분
- 보건증을 소지하신 분
- 타인과 커뮤니케이션에 문제가 없는 분","- 관련 업계 경력 및 경험이 있으신 분
- 직원들을 관리해본 매니저 경험이 있으신 분",서류 심사 -> 면접 심사 -> 채용 확정,"- 20~30대 구성원들로 이뤄진 젊은 스타트업으로, 자유로운 분위기에서 일해요!
- 점심 식대를 제공해요.(1만원 이내)
- 연차는 반차 또는 시간 단위로 나눠 자유롭게 사용해요.
- 간식/커피를 제공해요.
- 기여도에 따라 스톡옵션 및 인센티브를 지급해요.
- 매월 마지막 주 금요일은 우리들을 위한 '이너프 데이'로 편하게 즐겨요.
- 유연 근무제로 편한 시간에 출퇴근이 가능해요.","서울 성북구 고려대로114, 3층 스마트스타트업스튜디오 5호점","['바이오/제약/식품 ', '포장/조립 ']",['생산/제조'],"['바이오/제약/식품 ', '포장/조립 ']"
(주)이너프유,계약직 (정규직 전환 가능),"['포장', '조립', '입출고 관리']","저희 이너프유 팀은 아기들의 건강한 성장발달을 위한 솔루션을 만들고 있어요.
20~30대로 구성된 젊은 스타트업 팀이에요. 함께 빠르게 성장할 분을 찾고 있어요!
#반차/연차 가능 #점심 제공 #간식 제공 #자유로운 분위기
","이너프유 팀에서 함께 할 업무에요
• 주요 업무는 이유식밀키트 포장 및 출고를 담당해요.
• 이외 재고 관리 및 정리를 해요.","이런 분을 찾고 있어요
• 유효한 보건증은 필수로 발급받으셔야 해요.
• 깔끔/청결한 분들 찾아요.","이런 분이면 더 좋아요
• 밀키트 또는 식품 관련 포장 및 출고 경험이 있으신 분은 좋아요.
• 자유로운 분위기에서 금방 친해질 수 있는 친근한 분이면 더 좋아요.",서류 -> 면접 -> 최종 합격,"함께하면 받는 혜택 및 복지
• 연차/휴가는 자유롭게 시간으로 나눠서 사용할 수도 있어요.
• 점심 식대는 1인 1만원까지 제공해요.
• 편한 분위기에서 자유롭게 일해요.
• 계약기간 이후 업무 성과에 따라 정규직으로 전환이 가능해요.","서울 성북구 고려대로114, 3층 스마트스타트업스튜디오 5호점",['포장/조립 '],['생산/제조'],['포장/조립 ']
