회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)코그,정규직,"['디자인', '게임', '게임디자인', '게임기획']","코그는 엘소드, 그랜드체이스, 파이터스클럽, 히어로, 아이마, 얼티밋레이스, 커츠펠등 다수의 게임을 개발하고 전세계에 서비스하고 있습니다. 2023년 7월에 신작 프로젝트 리턴 얼라이브 CBT를 진행했습니다. 

현재 한국의 대구와 서울, 미국의 LA, 필리핀의 마닐라에 거점을 두고 약300명의 직원이 일하고 있으며, 특히 그랜드체이스와 엘소드는 브라질, 대만, 필리핀 등에서 1위를 차지한 성공적인 경험을 가지고 있습니다. 

코그의 가장 큰 특징은, 매 게임마다 항상 창의성을 가지고 새로운 것 들을 추구해 온 것입니다. 
`그랜드체이스`는 온라인 대전이라는 새로운 장르를 개척하여 많은 후속 게임들에게 영향을 끼치고 있습니다. 또한 `와일드 랠리`를 통해서, 온라인 레이싱 분야를 개척하였습니다. 현재도 이러한 코그만의 특징이자 장점인 새로운 것을 추구하기 위해 개발과 게임에 대한 연구에 많은 투자를 하고 있습니다. 

코그는 함께 성장해 나가기 위해 국내와 해외로 가는 워크샵을 진행하고 각 파트 별로 정기적인 스터디 모임을 지원하고, 외부 유명강사를 초청하여 강연을 하며 이러한 프로그램들을 통해 직원들의 발전을 중요하게 생각하고 노력 하고 있습니다.


KOG 블로그
https://blog.naver.com/kogblog","- 던전 몬스터 제작 및 레벨 디자인 업무
- 캐릭터 스킬 제작 업무
- 각종 기획 데이터 관리 및 설정 업무","- 액션과 전투 재미에 관심이 있고, 전투와 관련 아이디어를 구체화 할 수 있는 분
- Office, 엑셀을 능숙하게 잘 다루는 분 우대",,,"- 오피스텔 제공(최대 3년간 무상 지원)
- 사내식당(조,중,석식) 제공
- 복리후생비(게임/컨텐츠 지원비) 지급
- 북 카페 무료 이용 가능
- 사내 스터디, 세미나
- 사내 동호회 지원
- 휘트니스 무료 이용
- 리프레시 휴가 및 휴가비 지원
- 경조사, 생일기념선물, 웰컴키트, 건강검진, 근속금명함 등","대구 중구 국채보상로 586, 14층 (동성로2가,교보생명빌딩)",['캐릭터디자인'],['디자인'],['캐릭터디자인']
한류뱅크(주),정규직,"['마케팅', '영상편집', '디자인', 'SNS', '캐릭터디자인', '브랜드기획']","한류뱅크는 나스닥 상장을 준비하고 있으며 FANTOO를 개발하고 운영하는 IT 기업입니다.
AI와 블록체인을 연구하는 선행기술 조직과, 앱을 개발하는 개발 조직, FANTOO를 운영하는 운영조직으로 구성되어 있습니다.
자회사로는 한류 전문 미디어 한류타임즈와 FNS, 팬투엔터테인먼트, 라이브커머스 기업 케이커머스가 있습니다.","ㆍ캐릭터 브랜드를 활용한 마케팅, 전략 기획 및 운영
   - 캐릭터 디자인/캐릭터 응용 디자인
   - 스토리텔링을 통한 캐릭터 콘텐츠 (SNS용 홍보 및 웹툰 스토리) 기획 및 제작
   - 캐릭터 개발시 콘셉 아이디어 및 브랜드 기획

ㆍ리워드 광고 영상 편집
   - 아티스트를 활용한 생일광고 영상 등 간단한 2D 모션, 그래픽 편집 작업
   - SNS 콘텐츠용 영상 제작 및 편집","ㆍ미디어와 온라인에 대한 이해를 바탕으로 기획력을 갖춘 분
ㆍAdobe 툴 (Photoshop, illustrator, Premiere)의 높은 활용 능력을 가지신 분
ㆍ캐릭터 드로잉 가능하신 분
ㆍ영상 편집 툴 사용 가능하신 분
ㆍ트렌디한 SNS 영상 콘텐츠 기획 경험 있으신 분
ㆍ긍정적이고 밝은 성격이신 분
ㆍ원활한 협업 및 커뮤니케이션 능통하신 분","ㆍ이모티콘, 애니메이션 제작 경험이 있으신 분
ㆍ디자인 관련 학과 전공
ㆍ기존 캐릭터를 변형해서 작업이 가능하신 분
ㆍ디지털 미디어 관련 근무 경험자 (2D 모션, 컷편집 등)
ㆍ팬덤, 온라인 커뮤니티, 소셜미디어, 밈 등 인터넷 문화를 즐기는 분",,"• 사내 스낵바, 커피머신
• 각종 경조사비, 특별휴가 제공
• 중식제공(야근 시 석식 제공)
• 교육비 및 도서비 지원
• 최신노트북, 비품 듀얼모니터 등 지원","서울특별시 영등포구 국회대로38길 8, 403호 A-164호(당산동3가, 문화빌딩)",['캐릭터디자인'],['디자인'],['캐릭터디자인']
(주)라운드스타,정규직,"['디자인', '포토샵', '그래픽디자인', '일러스트', '캐릭터디자인', '일러스트레이터', '캐릭터', '캐릭터 디자인']","둥근별은 '세상이 필요로 하는 것을 만든다'라는 미션을 바탕으로 소프트웨어 개발, 디지털 마케팅, 플랫폼 서비스, 유통사업을 전개하고 있습니다. 우리가 전개하는 비즈니스에서 알 수 있듯이 우리으 ㅣ비즈니스 모델은 세상이 필요로 하는 것이라면 그 무엇이든 새로운 비즈니스로 끊임없이 창조하여 세상을 가치있게 변화시키는 것입니다.

둥근별은 충청남도 천안에 위치해 있으며 1호선 천안역 출구에서 도보 3분의 거리에 위치해있습니다.","- 콘텐츠 IP 기획 제작을 위한 캐릭터 디자인(드로잉)
- 콘텐츠 기획 제작을 위한 2D 그래픽 전반","[필요역량]
- 드로잉 및 디자인에 능숙하신 분
- Adobe Photoshop/ Illustrator에 능숙하신 분
- 콘텐츠에 대한 관심과 개발에 능하신 분
- 커뮤니케이션의 중요성을 이해하고 능동적인 소통이 가능하신 분",- 컨셉 디자인에 능숙하신 분,서류전형 → 1차 면접 → 최종합격,,충청남도 천안시 서북구,['캐릭터디자인'],['디자인'],['캐릭터디자인']
