회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)더즌,정규직,"['금융사무', '신규 거래처 발굴', '금융상품', '서비스영업', '업무제휴']","""더즌은 우리나라에서 가장 행복한 회사를 꿈꿉니다.""

1. 향상된 기술과 품질로 고객의 다양한 니즈를 충족시키는 Total B2B Service Provider입니다.
2. 펌뱅킹, 가상계좌 등 PG 및 결제 서비스를 제공합니다.
3. 본인인증, 청구서, 알림톡 등 카카오페이와 제휴합니다.
4. 리얼마진, 아보카도, 더아파트 등 생활밀착형 서비스를 제공합니다.
5. 무인환전, 스크래핑, 메시징, 해외법인까지 사업을 확장 중입니다.
6. 창립 후 꾸준하게 재무적 성장을 이뤄내고 있습니다.
7. 구성원의 행복이 곧 회사의 성장이라 생각하며, 아낌없는복지를 제공합니다. 

주 35시간 근무, 리프레시휴가 12일 추가 제공, 사내 휴양리조트 이용, 근속 3년마다 안식월, 무제한 간식, 취미활동비 지원 등 더즌만의 다양한 혜택을 경험해보세요!","•금융사(카드사, 은행) 업무제휴 및 관리
 •유관기관 업무제휴 및 서비스영업 
 •신규 서비스/사업 발굴","• 금융사를 파트너로 한 업무 제휴 경험이 있는 분
 • ERP 업무 경험 또는 이해도가 높은 분
 • 적극적인 성격 및 커뮤니케이션 능력을 보유한 분","• PG/VAN 업무 경험 또는 이해도가 높은 분
• 주도적으로 본인 의견을 제시하고, 의사 결정하는데 능숙한 분","- 정규직 채용
수습평가 3개월 (급여 100%)

- 채용 전형
서류전형 ＞ 1차 인터뷰(비대면/직무역량) ＞ 온라인 인성검사 ＞ 2차 인터뷰(대면/문화적합) ＞ 처우 협의/레퍼런스 체크 ＞ 최종 합격

** 서류 제출 시 더즌에 지원한 사유를 꼭 포함하여 제출해주세요!
** 경우에 따라 채용전형이 생략/추가될 수 있습니다.","•더즌인의 특권!
- 집중근무 일 7시간 / 주 35시간
- 신논현역 초인접! 전망좋은 교보타워 오피스
- 여유로운 점심시간 1시간 30분
- 개별 법인카드 지급 (점심식대+교통비)
- 장비 구매비용 지원
- 교육비/도서비/취미활동비/체력단련운동비 지원
- 다양한 간식 무제한 제공

•눈치보지 않고 떠나는 30일 이상의 휴가
- 입사와 동시에 연차 사용 가능
- 신규 입사자는 입사축하 4일 더! 
- 연차 외 추가 유급 Refresh 휴가 12일
- 더즌만의 특별한 퇴근 Dozn Day 6일 
- 가족기념일에는 조기퇴근하는 Family Day
- 근속 매 3년 마다 30일의 유급 휴가와 휴가비 지급
- 근로자 휴가지원사업

•‍‍‍가화만사성
- 매년 직원 종합 건강검진 제공
- 행복한 생일, 백화점 상품권 지급
- 경조휴가 및 경조사비 지원
- 명절 선물 제공
- 사내 휴양리조트 운영
- 결혼 축하휴가 2주

•그 외에도,
- 아침 식사, 저녁식대 지원  
- 워크샵 지원
- 팀회식비 지원
- 사내동호회 
- 인재 추천 지원금
- 편하게 쉴 수 있는 사내 휴식 라운지
- 반바지도 샌들도 OK! 자율 복장



#핀테크 #설립4~9년 #리프레시휴가 #주35시간

","서울 서초구 강남대로 465, B동 16층","['국내영업', '금융/보험영업', '영업기획/관리/지원']",['영업/제휴'],"['국내영업', '금융/보험영업', '영업기획/관리/지원']"
케이에프지(주),계약직,"['영업', '영업관리', '금융', '보험', '보험영업']",,"보험 모집 및 설계,  재무상담, 보험 상담",일한 만큼 벌고싶은 열정있는 분이면 누구나 가능,,,,서울 강남구 테헤란로 429 4층,['금융/보험영업'],['영업/제휴'],['금융/보험영업']
