회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)딥엑스,정규직,"['법무', '변리사', '리스크관리', '특허관리', '지식재산권']","딥엑스는 NPU 설계 원천기술을 보유하고 있으며 현재 공격적으로 원천기술을 권리화 하고 있습니다. 국내 NPU 스타트업 중 최대인 167건의 국내외 특허를 출원하였고 그 공로를 인정받아 2023년 발명의 날 대통령 표창을 수상하는 영광을 얻기도 하였습니다.

AI 기술이 시대의 패러다임으로 자리잡는 길목에서 동료들과 효과적으로 협업하고 다가올 인공지능 반도체 분야의 지식재산권 분쟁을 대비하기 위해 자신의 재능과 열정을 적극적으로 활용하여 딥엑스와 같이 성장할 변리사님을 초대합니다.","• 신규사업에 대한 지식재산 관련 리스크 검토
• 업계 특허 동향 분석 및 리스크 검토
•국내외 지식재산권 취득 및 관리
•사내 지식재산 발굴
•특허 관련 분쟁처리","• 컴퓨터구조, 컴퓨터하드웨어, ASIC, SoC, 메모리시스템, 디지털하드웨어 관련된 지식 또는 전공을 보유한 경력자
• 기술, 제품, 사업 및 경영에 대한 이해로 IP업무를 기획/관리하는 역량을 지닌 경력자
• 주도적으로 신규사업 특허 리스크를 분석하고 사전 대응방안을 수립한 경험이 있는 경력자
• 특허업무 3년 이상","• US, EP, DE, CN, OA 업무 경험이 있는 분
• Patent Map을 수립한 경험이 있는 분
• 특허분쟁 경험이 있는 분
• NPU, CNN, DRAM, Memory Controller, Processor Architecture, SoC, GPU, Computer System 관련 지식 또는 전공",,"• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 업무Tool Kit (최신 사양 노트북, 24~32인치 듀얼모니터, 스탠딩 데스크 등) 제공
• 커피, 티, 두유, 비타음료 등 다양한 바리에이션의 음료와 간식 무한 제공
• 점심, 저녁 든든한 식사 지원
• 생일자 생일축하금(20만원) 지급 및 16시 조기 퇴근
• 기혼자 결혼기념일축하금(20만원) 지급 및 16시 조기 퇴근
• 미혼자 크리스마스축하금(20만원) 지급 
• 설/추석 명절선물비(30만원) 지급
• 경조휴가 및 경조금 지급
• 전직원 주식증여
• 구성원 건강검진 지원 (2022.01부)
★ 복지는 딥엑스의 성장과 함께 지속적으로 업그레이드 됩니다.","경기도 성남시 분당구 판교역로 241번길 20, 미래에셋벤쳐타워 5F","['법률/법무', '특허/변리사']",['법률/법무'],"['법률/법무', '특허/변리사']"
(주)티오더,정규직,"['특허출원', '특허', '상표', '특허조사', '특허관리', '특허분석', '선행기술조사', '지식재산권']",,"티오더는 2019년 오프라인 공간의 새로운 패러다임을 가져오기 위해 15억 원의 자본금을 기반으로 설립되었습니다. 2022년 기준 매출액 약 268억원 달성, 1,500억원의 기업가치를 인정받으며 100억원의 시리즈A 투자를 성공적으로 유치하였으며, 현재 재직인원 200여명으로 22년도 대비 재직인원 100% 이상 증가하는 등 지속적인 폭풍 성장 중에 있는 벤처 기업입니다.
결제가 필요한 모든 매장 원격 비대면 주문 시스템/서비스 제공을 주 사업으로 삼고 있으며, 각종 스마트기기 (서빙로봇, 로봇팔, AI 냉장고 등) 적용 매장을 점차 확대하고 ERP, 객체인식 사업 등 새로운 프로젝트를 진행 중에 있습니다.","• 업무 유관경력 있으신 분(2~5년)
• 특허명세서 작성 및 검토 업무 경험이 있으신 분
• 특허 침해 분석 수행 경력이 있으신 분
• 해외 특허 문헌 독해 능력이 있으신 분
• 특허선행 조사 수행 경력이 있으신 분",,,,"서울시 영등포구 여의대로 108, 파크원타워2 46층",['특허/변리사'],['법률/법무'],['특허/변리사']
(주)메디트,정규직,"['특허출원', '특허관리', '명세서 작성', '지재권']","Fulfill Your Potential!

메디트(Medit)에서 글로벌 덴탈 플랫폼 서비스를 함께 선도해갈 인재를 찾습니다.

 
메디트는 임상 활용 가능한 3D 구강스캐너를 개발한 회사로, 글로벌 덴탈 시장에서 매년 2배씩 가파르게 성장하고 있습니다.

다양한 분야의 전문가들이 모여 뛰어난 기술력과 제품 경쟁력을 바탕으로 제품 출시 1년 만에 글로벌 업계 선두 주자로 자리 매김하며, 디지털 기술로 치과 의료 경험을 혁신해 나가고 있습니다. 강력한 디바이스를 바탕으로 축적된 3D 데이터를 AI, 머신러닝을 접목하여 유용하고 사용하기 편리한 어플리케이션을 개발하고 있으며, 전세계 치과와 기공소의 디지털 혁신을 돕는 최상의 소프트웨어 개발을 하고 있습니다.

 
메디트에는 세계를 무대로 성장하고 싶은 적극적이고 진취적인 인재들이 모여 자율과 책임의 문화에서 일하고 있습니다.

최고의 동료들과 함께 성장하고, 디지털 헬스케어 혁신을 함께 만들어 갈 인재분들을 모십니다.","• 국내/해외 특허 출원 및 심사 대응 업무
• 특허 문헌 조사 및 분석 (선행 기술 및 무효 문헌 조사)
• 경쟁사 특허 모니터링 업무
• 지재권 관리 업무","• 특허 명세서 작성 및 검토 업무 경력
• 공과 대학 졸업 및 관련 전공자
• 해외 특허 문헌에 대한 독해 능력
• 해외 출장에 결격사유가 없는 자","• 의료기기 또는 소프트웨어 명세서 작성 경험
• 명세서 작성 경력
• 특허 침해 분석 수행 경력
• 특허 선행 조사 수행 경력
• 해외 대리인(출원 대리인) 대응 관련 영어 회화/작문 경력",서류 심사 -> 1차 면접 -> 2차 면접,"[복지]
1. 근무 환경
- 유연근무제
- 수평적인 호칭 체계
- 최고 사양의 업무 장비/ 소프트웨어
- 웰컴키트 제공
- 무제한 간식 자판기
- 캐쥬얼 복장

2. 역량 향상과 즐거운 복지
- 해외 지사 파견
- 매월 개인 소장용 도서 지원
- 3년, 5년, 7년, 10년 이후 매 5년 근속 축하 상품권 및 휴가 제공

3. 건강과 행복
- 생일 반차 및 상품권 제공
- 명절 상품권 제공
- 다양한 경조사에 대한 지원
- 종합 건강 검진
- 임직원 상해 보험 가입
- 심리상담(EAP) 지원
*근무지에 따라 제공되는 베네핏은 상이할 수 있습니다.
",서울특별시 영등포구 양평로25길 8,['특허/변리사'],['법률/법무'],['특허/변리사']
