주요 업무,자격요건 및 우대사항
 daglo 다글로 앱 서비스 개발, iOS native 개발 경력이 2년 이상이신 분 상용 서비스 개발 및 운영 경험이 있으신 분 MVP MVVM MVC 등의 디자인 패턴을 이용한 개발 경험이 있으신 분 UIUX에 대한 이해 및 협업 경험이 있으신 분 REST API에 대한 이해가 있으신 분 모바일웹 환경을 위한 API 시스템 개발 경험 사용기술  ObjectiveC  Swift 공통 개발 환경  GitLab을 통한 코드 관리 및 코드 리뷰  Jira Confluence Figma Slack Notion 사용 Cross Platform 가능자 Reactnative 프로젝트 경험
 플리토에서 서비스 중인 메뉴번역 Android App에 새로운 기능 추가 및 기존기능을 보완개선합니다, Android 실무 개발 및 배포 경력이 7년 이상이신 분 코드부터 테스팅까지 꼼꼼하게 잘 챙기시는 분 팀 및 개인의 성장을 위해 노력하시는 분 동료들과 함께 성장하기 위해 배운 내용을 바탕으로 공유를 잘하시는 분 Coroutine을 능숙하게 잘 사용하시는 분 MVI  클린 아키텍쳐를 적용해 보신 분 Compose를 적용해 보신 분  포트폴리오가 있으신 경우 첨부해 주세요  개인 GitHub 개발 블로그 등이 있을 경우 지원서에 URL을 명시해 주세요
뮤즈라이브의 KiT Player 앱 유지보수 및 신규 기능 개발 입니다뮤즈라이브와 함께 발전할 수 있는 분을 찾습니다, iOS 경력 1년 이상 문제를 찾고 해결하는 데 재미를 느끼시는 분 능동적으로 개발 관련 문서 탐독 및 지식 습득이 원활하신 분 성장하는 회사에서 같이 개발 문화를 만들어나가실 분 자기가 만든 앱이 사람들에게 쓰일 때 뿌듯하신 분 자기 코드를 남에게 설명하는 게 어렵지 않으신 분 git을 다룰 줄 아시는 분 iOS 앱 직접 출시 경험 음악 관련 앱 제작 경험 KPOP 팬덤 문화에 대한 이해 오픈소스 프로젝트 참여 경험 영어를 통한 개발 정보 습득이 원활하신 분 RxSwift와 같은 반응형 프로그래밍 경험 체계적으로 문서화하는 것에 즐거움을 느끼시는 분
딜라이트룸의 iOS Group은 이런 사람들로 구성되어 있어요 어려움에 끈질기게 도전하는 데 두려움이 없고 핵 쩌는 모바일 사용자 경험을 만드는데 열정이 넘치는 사람  딜라이트룸의 iOS Engineer는 이런 일을 해요  성공적인 아침을 만드는 모닝 웰니스 앱 Alarmy 개발 성공적인 아침을 만들어주는 기능을 높은 품질로 빠르게 개발 및 관리 사용자 가치 중심을 둔 적정기술을 사용,이런 분을 원해요 iOS 개발 경력 5년에 준하는 실력을 보유하신 분을 원해요 Clean Architecture에 대한 이해도가 높으신 분을 원해요 모듈화 및 테스터블한 개발에 익숙하신 분을 원해요 사용자 중심의 사고를 하며 제품을 개발하시는 분을 원해요 자율적이며 성장을 지향하고 커뮤니케이션이 원할하신 분을 원해요 동료와 배움을 적극적으로 나누시는 분을 원해요 멘토링 코칭이런 분이시라면 더 좋아요 SwiftUI TCA에 대한 이해도가 높으신 분이시라면 더 좋아요 프로세스 자동화에 전문성이 있으신 분이시라면 더 좋아요 글로벌 및 대규모 서비스를 개발해보신 분이시라면 더 좋아요 광고 및 인앱결제 구현 경험 및 도메인 전문성이 있으신 분이시라면 더 좋아요 수면 습관 루틴 등 개인 생산성에 관심이 높으신 분이시라면 더 좋아요
 초음파 진단기기 app 개발 Android  iOS 배럴아이 의료 AI 솔루션을 mobile app에 포팅 프레임워크 구축, 학력  학사 이상 컴퓨터전자전기의공학 경력  5년 이상 의료기기 sw 개발 경험 Cross compile 개발 NDK 개발 Cmake 경험 스킬  C C Python NDK Cmake 초음파 의료기기 APP 작업 경험자 GPGPU Network programming 경험자
 TADA 라이드 헤일링 서비스의 기사용 iOS 앱과 승객용 iOS 앱의 유지보수 및 신기능 개발 협업 가능한 코드를 위한 코드 리뷰 및 효율적인 코드를 위한 구조 개선 작업, 3년 이상의 iOS 개발 경력 또는 그에 준하는 경험 Swift 및 iOS에 대한 기본적인 이해가 있으신 분 Storyboard 및 AutoLayout을 활용한 View 구성이 가능하신 분 코드기반 UI Layout을 통한 View 구성이 가능하신 분 비동기 네트워크 처리에 대한 기본적인 이해가 있으신 분 디자인 패턴에 대한 이해가 있으신 분 RxSwift 사용 경험 및 이에 대한 기본적인 이해가 있으신 분 우대 CI를 활용한 배포 자동화 경험이 있으신 분 우대 MVC MVVM 등 아키텍쳐에 대한 관심 및 이해가 있으신 분 우대 ReactorKit RxFlow 사용 경험이 있으신 분 우대 Declarative UI 사용 경험이 있으신 분 우대 Combine 사용 경험이 있으신 분
 마이클 iOS 앱 개선 개발 및 운영현재 , iOS 어플리케이션 개발 경험 최소 2년 이상 또는 그에 준하는 역량을 보유하신 분 Flutter 개발 경험이 있으신 분 코드 품질 향상에 관심이 많으신 분 테스트 및 자동화에 관심이 많으신 분 새로운 기술을 배우는 데 주저함이 없고 프로그래밍을 즐기시는 분 프로젝트에 대한 오너십을 가지고 주도적으로 일하시는 분 개인 애플리케이션 개발 경험이 있는 분 기획 디자인 서버 직군과의 다양한 소통 및 협업 경험이 있는 분 오픈소스 또는 기술 블로그 활동 경험이 있는 분
 엘리스 교육 플랫폼의 모바일 버전 개발 채팅 소셜 기능 등 모바일에 특화된 기능 추가 기획 및 구현 엘리스 웹앱의 주요 기능 포팅 팀원들과 함께 더 좋은 조직 문화와 개발 문화 형성, iOS App 개발 경험 SwiftUI를 사용한 UI 구성 경험 혹은 Codebased UI 구성 경험 UnitUI 테스트 작성 경험 Git flow를 통한 소프트웨어 프로세스 관리 경험 자료구조 알고리즘 디자인패턴에 대한 높은 이해도를 가진 분 iOS App 3년 이상의 개발 경험 CICD 구현 경험 태블릿용 앱 개발 경험 Websocket 기반 개발 경험 WebRTC 기반 동영상 스트리밍 서비스 개발 경험 WebView에 대한 높은 이해도를 가진 분 Flutter 개발 경험 스크럼칸반 기반 애자일 개발 프로세스 참여 경험 개발팀 리드 경험 또는 모바일 파트 리더로 커리어를 확장하고자 하시는 분
 AWS Mobile SDK를 통해 다양한 AWS 서비스 사용 AWS IoT Core 와의 연결을 통해 엘리베이터TV의 생애주기와 관련된 코드 작성 최적의 영상 재생을 위한 자체 플레이어와 재생 알고리즘로직 개발 포커스미디어코리아 전용 모바일 앱 개발, 안드로이드 소프트웨어 개발 관련 5년 이상의 업무 경력을 보유하신 분 1가지 언어를 5년 이상 사용한 경험이 있으신 분 AWS 클라우드 사용 경험이 있으신 분 운영 체제 소프트웨어 디자인 패턴 고가용성 및 확장성에 대한 이해도가 있으신 분 GitHub 링크 제출 必 5년 이상의 풀 사이클 제품 개발 업무 경험을 보유하신 분 코드 리뷰 소스 코드 베이스 관리 빌드 프로세스 테스트 및 배포한 소프트웨어의 프로덕션 운영 조직 리드 안드로이드 기반 영상 처리 경험이 있으신 분 개발 및 운영에서 발생하는 다양한 장단기 문제 해결 경험이 있으신 분 커스텀 하드웨어구버전 안드로이드 기반 개발 경험이 있으신 분 광고 산업에 대한 이해도가 있으신 분
 디자이너와 협업하면서 완성된 디자인을 앱에서 구현 figma 로 협업 기획자 다른 엔지니어와 소통하면서 정확한 동작 방식정책 확인 후 의도한 대로 앱에 구현 개발과 관리가 용이한 형태로 지속적인 클라이언트 코드 리팩토링 react redux 등, 컴퓨터 공학 전공 또는 그에 준하는 능력 react 를 활용하여 clientside 웹앱을 만들 수 있는 분 비즈니스 요구사항에 맞게 로직을 설계 구현하고 운영할 수 있는 분 프로페셔널 코딩 능력 스타트업 또는 이와 비슷한 업무환경에서 성과를 냈던 경험이 있는 분 해야할 일을 명확하게 정의하고 의도한 대로 동작하게 만드는 분 새로 만들거나 변경한 내용들을 스스로 검증하고 발견한 문제를 스스로 해결하는 분 문제 파악 능력이 뛰어나고 근본적인 문제 해결 방법을 제시하고 구현할 수 있는 분
핀다는 1000만의 뱅킹 서비스를 꿈꾸고 있어요 우리의 고객들이 마이데이터를 기반으로 가장 좋은 조건과 상품을 이용할 수 있도록 다양한 금융기관들과 제휴해 뱅킹 서비스를 제공하고자 해요 제휴된 모든 금융사의 대출을 비교할수 있는 핀다의 핵심 기능인 비교대출 Android 기능을 개발해요 특정 유저를 타겟팅 해서 개인화된 상품 추천이나 자산 관리 서비스를 제공할 수 있도록 기능을 개발해요 유저가 쉽게 대출을 상환하고 본인의 자산을 한눈에 보고 관리할수 있는 자산 관리 서비스를 개발해요 많은 데이터를 안정적이고 효율적으로 처리하기 위한 리팩토링 및 아키텍쳐 설계에 참여해요 현재 운영되고 있는 핀다 서비스의 확장성 안정성을 위한 방안을 고민하고 실행해요핀다 PGProduct Group 개발자로 입사하실 경우 금융상품 PG 현금그로스 PG 마이비즈 PG 중 후보자님의 이력과 경험을 잘 발휘하실 수 있는 팀을 매치해드리고 있어요 인터뷰를 통해 핀다와의 Fit을 맞춰보세요, 3년 이상의 안드로이드 개발 경력을 가지고 계신 분 Kotlin Coroutine AAC Jetpack MVVM 경험이 많으신 분 비동기 프로그래밍에 대한 이해도가 높은 분 버전 관리 도구 Git 경험이 있으신 분 디자인 패턴 리팩토링에 대한 기본 지식을 가지고 계신 분 MVI Compose 매버릭스를 경험해보신 분 TDD Unit test 및 UI Test 작성 경험이 있으신 분 앱 최적화 경험을 보유하신 분 아키텍처 설계와 코드 리팩토링에 대한 이해도가 높으신 분 자기 주도적으로 개발하는 것을 즐기고 동료들과 수평적으로 커뮤니케이션 할 수 있는 분 Android 개발 환경에 관심을 갖고 더 나은 개발 문화를 만들어가는 데 기여할 수 있는 분 애정과 열정을 갖고 개발해 완성도 높은 서비스를 제공해본 경험이 있는 분핀다 안드로이드에서 사용하고 있는 기술 주요 개발 기술  kotlin coroutine DIKoin MVVM MVI andoridxjetpack 개발협업 도구  Bitbucket Slack Jira Figma Firebase
