회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
캐롯손해보험(주),정규직,"['Oracle', 'BI', 'SQL', 'dw', 'etl']","캐롯손해보험은 한화, SKT, 현대자동차, 알토스벤쳐스, 스틱인베스트먼트 등 대형 투자사들이 함께 합작하여 설립한 국내 최초의 디지털 손해보험사입니다.

사물인터넷(IoT) 등 정보통신기술(ICT)를 결합하여 더 간편하고 부담 없는 생활 밀착형 보험 서비스를 통해 고객에게 보험의 새로운 패러다임을 제공하려고 합니다.

캐롯은 모두가 '당연하다'라고 여기는 불평등과 불편함에 대해 고민했습니다.

세워두기만 한 차에도 동일한 보혐료를 내야하는 불평등, 매번 모든 정보를 입력하고 가입해야하는 불편함.

일상 속에서 너무나 당연히 받아들였던 오늘의 불편을 내일의 가치로 만들어갑니다.
생활 속 어떤 것도 보험 서비스가 될 수 있는 보험 스타트업 캐롯에서는 당신의 아이디어가 가치있는 보험이 됩니다","• 캐롯 주행/계약 관련 지표 생성 및 제공해요.
• Data-warehouse 및 Data mart 관련 스키마 설계 및 workflow 스케쥴링을 해요.
• Hadoop 기반 DW 구축 및 운영(w/Data engineer)을 해요.
• Power BI 활용한 BI Dashboard 개발을 해요.","• BI 및 ETL 관련 분야 경력 5년 이상이신 분이 필요해요.
• DW 데이터 모델링 Skill이 있으신 분이 필요해요.","• BI 툴 활용 및 Hadoop에 대한 연동을 이해하신 분이면 좋아요.
• BI 업무의 보다 효율적인 적용을 위한 경험을 보유하신 분이면 더 좋아요.
• 시스템 구성상 전통적인 리포트툴로 적용하는 것보다 효율적인 오픈소스를 사용한 일부 실시간성 리포트 생성 관리를 하시는 분이면 좋아요.","• 해당 직무는 수시채용으로, 채용 완료 시 공고가 마감될 수 있어요.
• 지원서를 허위로 기재할 경우 불합격 또는 입사가 취소될 수 있어요.
• 국가보훈대상자 및 장애인은 관계법에 의거 우대해요.
• 경력직의 경우 처우협의 단계에서 지원자의 정보 진위를 판단할 수 있는 증빙서류 제출이 요구될 수 있어요.","[성장을 위한 휴식]
• 매년 복지포인트 200만원
• 설 차례비 지급
• 체력단련 휴가 5일
• 시차출퇴근제
• 자격증 취득 지원
• 무제한 온라인 교육 지원
• 연차사용 장려포인트 35만원
• 연차 숙박비 지원
• 근로자의 날 선물
• 한화계열사 할인 혜택
• 온라인 독서 플랫폼 지원
• 경조금 및 경조휴가 지원

[소중한 가족과 함께]
• 직원 및 배우자 단체상해보험
• 임직원 및 배우자 건강검진
• 자녀 학자금 지원
• 자녀보육수당 지원
• 수험생 자녀 응원선물
• 맘스패키지 선물
• 모성보호제도 운영","서울 중구 을지로100 파인에비뉴 B동 20층, 캐롯손해보험",['BI 엔지니어'],['데이터'],['BI 엔지니어']
(주)웅진,정규직,['POWER BI'],,"- MS Power Platform 프로젝트 수행 및 기술지원 (Automate, BI, Apps)
- MS Power Platform 기반 개발 및 운영
","【지원자격】 
 - 모집직급: 대리~과장 
 - MS Power Platform 구축 / 운영 경험 3년 이상
   (Automate, BI, Apps 개발 경험 포함)
 - 리눅스/네트워크/인프라 기본 지식 보유

 【우대사항】 
 - MS Azure  및 전산관련 자격증 보유 
 - Power Platform 컨설팅 경력 보유
 - Azure IaaS 구축 및 운영
 - API, JAVA, Node.js, Python 등 개발기술 경험 보유",,,,서울 중구 청계천로 24,"['클라우드 개발', 'BI 엔지니어']","['개발', '데이터']","['클라우드 개발', 'BI 엔지니어']"
잡플래닛,정규직,"['데이터분석', 'BI', 'python', 'SQL', 'Tableau', 'POWER BI']","더 나은 선택은 없을까?
 지금 이 순간에도 잡플래닛을 방문하는 월 300만명의 회원들은 이것이 최선인지 고민합니다. 그래서 잡플래닛은 취업과 이직이라는, 인생의 갈림길에서 뒤돌아오지 않아도 되는 결정을 하는데 무엇이 필요한지 어떻게 해야 할지 고민합니다. 동시에, 안주하지 않고 쉼 없이 성장해 온 기업이 가치에 걸맞는 인정을 받을 수 있는 사회를 그립니다. 모두가 '잡플래닛 덕분에 더 편해! 더 좋아졌어!'라고 말하는 세상을 꿈꾸며, 구직자, 기업, 공공기관 등 모두가 더 나은 선택을 하는데 필요한 플랫폼을 만들어 갑니다.
 
 구성원들의 커리어가 좋아지려면 어떻게 해야 할까?
 잡플래닛은 유저 뿐만 아니라, 우리 팀의 커리어도 고민합니다. 지금보다 더 매력적인 커리어가 되려면 무엇이 필요할까요?
 우리의 답은 2가지 입니다. 첫째, 더 나은 포트폴리오를 위해 개인의 권한과 프로듀싱 속도를 높이는 것, 어디가도 성장 경험을 갖추었다고 납득할 만한 수치적 성장을 확보하는 것. 이를 위해 조직을 애자일하게 움직이며 work scope보다 R&R을 중시합니다. 인위적이고 획일적인 문화보다는 '사람 스트레스' 없는 환경을 지향하며, 경험이 주는 편견보다 데이터가 보여주는 의외의 논리를 신뢰합니다. 우리 팀은 서로를 위해 회사의 성장을 고민합니다. 그래서 서로에 대한 배려와 비전에 대한 공감대를 바탕으로, 범국민적인 플랫폼을 만들어갑니다. 우리는 팀 '잡플래닛' 입니다.
 
 잡플래닛의 비전에 공감하는 분들의 많은 지원 부탁 드립니다.
 
 잡플래닛에 대해 더욱 자세히 알아보기 https://www.notion.so/12051b10bdbb4e77913ce9b645ab0579","[조직소개]
잡플래닛의 데이터 조직은 Data 1st전략으로 서비스의 핵심 자산인 데이터의 최우선 활용을 위해 효율적인 데이터 수집/정제/저장/분석 환경을 구축합니다. 이를 위해 데이터플랫폼의 설계와 구축을 진행하고 안정적 운영을 담당합니다. DB, Log, Text, Image 등 다양한 형태의 정형/비정형 데이터를 모두 다루며 대용량 데이터로부터 인사이트를 효과적으로 뽑아낼 수 있는 기술적 기반을 제공하여 사업 성공에 중추적 역할을 합니다.

[주요업무]
• 전사 Business Intelligence : Dashboard, Report 개발, 분석 및 운영
• 전사 및 각 부서의 전략적인 데이터 기반 의사결정을 지원하기 위해 주요 지표 개발
• 전사의 주요 지표들에 대한 Descriptive, Diagnostic, Predictive(& Prescriptive) 분석
• 복잡한 데이터 인사이트를 여러 이해관계자들이 쉽게 이해할 수 있도록 명확하고 간결하게 소통
• 새로운 기술을 탐색 및 수용하고 업계 모범 사례를 연구하며 BI Dashboard와 Report를 최신 상태로 유지하여 데이터 분석 기술을 지속적으로 개선","[자격 조건]
• SQL 상급, 파이썬 중급
• Data Visualization 소프트웨어(Tableau, Power BI, Looker 등)  상급
• Data Mart, Data Warehouse, Database Management에 대한 깊은 이해
• 비즈니스 도메인 지식 학습에 적극적인 자세
• 비즈니스, 프로덕트, 개발자 등 이해관계자들과의 유연한 커뮤니케이션
","[우대 사항]
• Statistics, Econometrics, Applied Science, Operational Research 전공자
• Sales 나 Marketing 프로세스에 대한 이해 또는 실무 경험
• Airflow, GCP Dataform에 대한 경험
• ADP, ADsP, SQLP, SQLD 자격 보유
• IIBA Certification 보유 : AAC, CBDA

","[전형 프로세스]
• 서류전형 -> 1차 실무 인터뷰 -> 2차 협업부서 인터뷰 -> 3차 CDO 인터뷰
* 진행 과정에서 필요 시, 전형단계 감소 또는 추가 될 수 있습니다.


 [제출서류]
• 이력서, 포트폴리오"," - 분 단위 시차 출퇴근제 (오전 7시~ 오전 10시 사이 자율 출퇴근)
 - 야근하지 마세요😢 그래도 하게 된다면 교통비 및 식대 지원합니다.
 - 직원이 건강해야 회사도 건강하다💪 건강검진 지원
 - 오늘보다 내일 더 ! 올해보다 내년에 더! 자기 개발비 지원
 - 각종 세미나, 포럼, 교육 참석 지원합니다.
 - 잡플래닛 맴버 대소사 걱정을 덜어드리는 경조사비 지원
 - 매 월 마지막 금요일 Refresh할 수 있는 하프데이🎈
 - 기본 연차 외 별도의 여름휴가! 눈치보지 않는 휴가 사용
 - 의료비 더이상 걱정말아요! 연 최대 200만원 의료비 지원👩‍⚕️
 - 즐거운 생일 회사에서만 보낼 수 없죠 ! 생일날은 나만의 하프데이💃
 - 업무 관련 도서구매 무.제.한 ... 두둥! 📚📚📚
 - 커피, 음료 등 간식 무제한 제공 ! 🍫☕🥤 
 - 내부 직원 추천 제도 : 실력 있는 인재 추천에 대한 보상💰
 - 추천직원 6개월 근속 시 보상금 100만 원 지급
 - 1년 이상 재직자 '스톡옵션' 지급","서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층",['BI 엔지니어'],['데이터'],['BI 엔지니어']
