주요 업무,자격요건 및 우대사항
 자사의 쇼핑몰 및 스마트스토어 총괄 내용 구성 및 온라인 매출 관리 온라인 영업 상품 등록 가격 관리  매출 정산  판매분석  판매일보작성 행사제안 및 기획 프로모션 기획 홍보마케팅 팀과 협업, 학력  대졸이상 경력  2년 이상 포트폴리오 필수 제출 컴퓨터활용능력 우수자 엑셀 및 쇼핑몰 툴 사용 경험자 디자인 툴 사용 경험자
 바이럴 프로모션 이벤트 기획 참여 인플루언서 관리 및 운영 블로그체험단 핸들링 홍보 전략 수집 캠페인 프로모션 이벤트 기획, 학력  무관 경력  신입경력 경력 무관 관련학과 전공자 해당 직무 경력자
1 인플루언서 발굴 및 커뮤니케이션 2 인플루언서 커머스에 적합 브랜드 상품 큐레이션 3 SNS 마켓 운영 및 관리 네이버스마트스토어4 구매 고객 CS관리 제품 문의 상담 배송 발주서 관리,1 인플루언서 마케팅커머스에 관심 있으신 분2 트렌드에 관심이 많고 제품브랜드 발굴에 흥미가 있으신 분 3 인플루언서 공동구매마케팅 커리어를 만들고 싶은 분 4 고객 커뮤니케이션에 능숙하신 분 1 인플루언서 커머스 운영 경험이 있으신 분 2 MCN 인플루언서 마케팅 회사 등의 경력 또는 네트워크를 구축하고 계신 분 3 소셜미디어 플랫폼Instagram Youtube Tiktok 네이버 블로그 등에 대한 이해활용도가 높은 분 4 원만한 커뮤니케이션 능력 대인관계 역량을 지니신 분 5 스타트업에 대한 풍부한 이해
콘텐츠 마케터는 데이터 기반으로 현 상황을 정의 분석하고 새로운 크리에이티브로 감도 높은 브랜딩과 매출 퍼포먼스를 모두 고려한 콘텐츠를 기획하고 제작하는 역할을 담당합니다 국내 뿐 아니라 미국 일본까지 확장할 수 있는 포지션입니다업무 예시 콘텐츠 소구포인트 카피 이미지 등 실험 및 효율 개선 가설 기반의 광고 CRM 상세페이지 콘텐츠 기획 인플루언서 협업 콘텐츠 기획 촬영 기획 제작 일정 관리, 콘텐츠를 통한 매출 및 ROAS 개선 경험 구조적인 논리적 흐름으로 문제를 정의하고 해결하시는 분 업무에 대한 높은 책임감과 꼼꼼함을 가지신 분 빠른 실행력을 가지신 분 원활한 커뮤니케이션을 통한 협업 능력을 가지신 분 스타트업 업무 경험 커머스 업계의 높은 이해도
 모바일 애플리케이션 서비스 기반 브랜드 마케팅 기획 BX 프로젝트기업 및 제품서비스 등 기획 및 전략 문서 개발 고객시장트렌드 분석 이슈 진단 및 인사이트 도출 등 전반적인 브랜드 아이덴티티 기획 개발 데이터를 기반으로 인사이트를 도출하여 마케팅 캠페인 기획을 하실 수 있는 분, 관련 업무 경력 3년 이상이신 분 기획과 함께 관련 디자인 가능자 제품 개발을 위한 데이터 분석 및 인사이트 도출 고객 커뮤니케이션을 위한 온오프 프로모션 기획 및 운영 경험이 있는 분 타겟의 공감을 이끌어 내는 스토리텔링에 강점이 있으신 분 배려와 협동을 바탕으로 적극적으로 타부서와 협업하실 수 있는 분 포트폴리오 제출 필수 용량 50MB 이하 비즈니스 및 브랜드에 대한 이해가 풍부하며 유연한 소통이 가능한 분 브랜디드 콘텐츠에 대한 이해와 카피라이팅 역량이 우수한 분 미디어와 트렌트에 빠르게 반응하고 관심이 많으신 분
 어패럴 입점 비즈니스와 서비스에 대한 깊은 이해를 바탕으로 사업서비스기획 및 실행 어패럴 입점 브랜드관리상품기획 부서의 세일즈 전략 및 정책 수립 어패럴 입점 브랜드상품매출 및 손익관리 어패럴 입점 브랜드관리상품기획 부서 조직관리 매출 확대를 위한 파트너사 관리 및 커뮤니케이션, 온라인 커머스 플랫폼입점사업 상품기획 분야 경력 10년 이상 온라인 커머스 서비스기획개발조직과의 협력 프로젝트를 총괄 관리한 경험 있으신 분 명확한 커뮤니케이션 및 유연한 관계 구축관리 스킬 보유하신 분 플랫폼 기반 패션사업 경험있으신 분 커머스 플랫폼 초기부터 안착 및 성장까지 전 과정 경험있으신 분 일본 패션사업에 대한 이해도 있으신 분 일본어 사용이 가능하신 분 동대문 시장에 대한 이해가 있으신 분
 브랜드 진단 및 전략 방향성 수립 브랜드 네임 슬로건 및 스토리 개발 브랜드 체계 전략 수립 브랜드 실행 전략 및 아이디어 수립 그 외 회사가 요구하는 내부 프로젝트 및 신규 비즈니스 개발 프로젝트 참여,사업의 성장에 브랜드가 미치는 영향에 대한 이해가 있는 분전략과 실행 간 끊김 없는 종합적인 브랜딩을 경험하기 원하시는 분전략적 사고 창의적 마인드 민첩한 행동 실행 가능한 아이디어를 가진 분민첩하고 능동적으로 업무와 조직을 리딩을 하시는 분 브랜드 매니저 BM  컨설팅 회사  리서치 회사  광고 대행사 AP 경험이 있으신 분 우대
 북미 지역 자사몰 CS 대응 및 관리 자사몰 내 재고 관리 자사몰 컨텐츠 업데이트 및 적용 관리 자사몰 운영 및 operation 관리 매출 및 데이터 관리, 영어 Speaking  Writing 능통하신 분 글로벌 CS 업무 또는 자사몰 운영 경력 보유하신 분 타유관 부서와 원활한 커뮤니케이션 능력 보유하신 분 화장품 업계에서의 글로벌 플랫폼 경험하신 분아마존쇼피 등 유학실거주 경험 등 북미 시장 및 문화에 대한 이해도가 있는 분
브랜딩을 목적으로 방향성을 설정하고 전반적인 기획 및 판매 업무를 담당합니다제품 기획 및 개발상세페이지 및 컨텐츠 기획제품별 판매전략 수립USP설정가격설정 판매채널 설정 등인플루언서 협업 업무CRM 운영카카오 푸쉬 카카오채널 프로모션 기획 등,학력무관 동종업계 3년 이상 근무인턴계약 종료 후 정규직 전환시 결격사유가 없으신 분코스메틱 카테고리 경험자 우대브랜드 온라인쇼핑몰 경험자카페24 어드민 경험자컴퓨터 활용능력 우수자
 프로젝트 기획 및 관리 아이템별 상품 전개 소진 계획 및 판매관리 자료 리서치 마케팅 전략 수립 MD 상품 개발 및 협력업체와 커뮤니케이션, 국내 패션 디자인 MD VMD 실무 1년 이상 경험을 보유하신 분 기본 OA 및 엑셀 활용 능숙하신 분 일본어 가능자 포토샵 일러스트 등 디자인 툴 사용 가능자 문서작성 우수자 Excel
콘텐츠 영상기획 및 제작SA  DA광고 SEO 블로그 SNS 등 채널 운영영상 이미지 아티클 형태의 컨텐츠 기획문서기반의 마케팅 자료제작,콘텐츠 및 SNS 운영 경력 12년기업의 포인트특징 브랜드 상품 등를 글로 표현이 가능하신 분상품 프로모션 서비스 기획에 경험이 있으신 분뉴 미디어 지식과 IT기술에 대한 기본지식을 바탕으로 한    콘텐츠 기획 아이디어를 보유하신 분대졸 이상해외여행에 결격사유가 없는 자기업의 포인트특징 브랜드 상품 등를 글로 표현이 가능하신 분상품 프로모션 서비스 기획에 경험이 있으신 분뉴 미디어 지식과 IT기술에 대한 기본지식을 바탕으로 한    콘텐츠 기획 아이디어를 보유하신 분
